职位,薪金范围,所在地,学历,工作年限,语言,年龄,员工福利,岗位职责,任职要求,所属部门,专业要求,汇报对象,下属人数,行业,公司规模,应聘查看率,是否仅限VIP查看
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,
人力资源总监,"19-30万
                                        

"," 
绍兴
",统招本科,5年以上,语言不限,年龄不限,"带薪年假,优秀员工奖,全勤奖,公司规模大,节日礼物,定期体检,午餐补助,外派津贴,",,"要求：1、 211、985院校本科及以上学历，人力资源或工商管理专业；2、3年以上人力资源管理工作经验，硕士及以上学历优先考虑。 3、熟悉国家、地方劳动人事政策法规，尤其是社会保险与劳动关系方面的政策法规。 4、熟悉并精通人力资源管理各工作模块的流程及行政管理能力。 5、具有较强的影响力和沟通协调能力，良好的应变能力，能熟练操作Word, Excel, PowerPoint等办公软件。 6、具备较强的领导、判断和决策能力，有较强的责任意识和公正性。 7、有亲和力，抗压及适应能力强。 福利待遇： 1、8小时制上班时间； 2、提供花园式小区宿舍，空调、热水器、Wifi等俱全，距公司步行5-10分钟路程； 3、带薪年休、员工旅游、户外活动、健康体检； 4、丰厚的年终奖金、高温补贴、结婚礼金、节日福利、生日福利… 5、配备公司手机+一定额度的手机套餐； 6、出差提供餐补+住宿补贴； 7、享有培训和晋升空间； 8、享有社会保险和商业保险。
                            ",综合管理部,不限,总经理,6人,服装服饰/纺织/皮革,100-499人,100%,
人力资源总监,"36-40万
                                        

"," 
北京
",硕士及以上,10年以上,语言不限,年龄不限,"年底双薪,交通补助,通讯津贴,午餐补助,定期体检,年度旅游,免费班车,五险一金,上市公司,公司规模大,发展空间大,带薪年假,管理规范,",岗位职责：1、根据公司的战略发展方向，构建人力资源战略规划与绩效体系，并督导下属企业战略的制订与执行；2、负责公司整体组织机构的搭建与设置，并根据公司发展需要，进行动态管理；4、负责公司制度体系、运营机制的构建与推行，建立高效的制度化运营模式；5、负责拟定公司人力的整体规划策略，并对其组织实施进行指导与监督；6、负责公司整体人力资源管理工作开展，设计、制定人力资源管理模式，并指导监督各模块工作顺利开展。,"要求：1、统招本科、硕士及以上学历；2、10年以上人力资源工作经验，5年以上大中型多元化集团公司人力资源部门负责人管理经验，有制造业、环保行业管控经验者优先考虑；3、精通人力资源各模块，熟悉现代化企业运营流程；4、具有良好的沟通协调能力和服务意识，善于团队建设与管理；5、具有良好的原则性及应变能力，在坚持准则的前提下能够高效、妥善地应对突发事件；6、具有较强的责任感与敬业精神，能够承担工作压力。
                            ",人力资源部,不限,总经理,0人,环保,10000人以上,92%,
人力资源总监,"面议
                                        

"," 
广州
",大专及以上,10年以上,语言不限,年龄不限,"绩效奖金,带薪年假,交通补助,节日礼物,领导好,五险一金,岗位晋升,团队聚餐,发展空间大,全勤奖,优秀员工奖,年底双薪,股票期权,","职责描述：全面负责公司人事招聘工作1．根据公司战略目标，制订和推行人事部年度工作计划；2．制订、执行、监督和完善公司各项劳动人事制度；3．根据公司发展的需要，制订并执行人员招聘计划，建立和完善公司的招聘流程和招聘体系；4．做好员工职业生涯发展规划，负责制定后备人才选拔方案和人才储备机制。5．制订并实施公司年度培训计划，组织新员工入职培训并对培训效果进行调研和评估，督导各部门开展培训工作；6、解决行政人事部与其他部门的协调工作；7、负责协调内外关系，与员工进行积极沟通；帮助各部门建立积极的员工关系，处理劳资纠纷和员工投诉。职位要求：1、本科以上学历，人力资源管理、心理学、行政管理或商业等相关专业；2、八年以上人事管理工作经验，熟悉当地劳动法规和人事事务操作流程；3、具有较强沟通能力以及团队协作精神；4、良好的组织协调能力、判断与决策能力、商务谈判能力、人际沟通能力及文字处理能力；5、具有责任心和团队意识。
",,人力资源部,不限,CEO,0人,百货/批发/零售,500-999人,85%,
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,
人力资源总监,"10-12万
                                        

"," 
北京
",统招本科,5年以上,语言不限,年龄不限,"全勤奖,技能培训,定期体检,补充保险,","职位描述：1、	负责参与公司人力资源的总体规划及发展，对整体人力资源体系进行优化；2、建立并完善公司人力资源管理体系，在招聘、绩效、薪酬等方面建立适合公司的人力资源管理模式，建立有效的制度并组织实施；3、构建和管理人力资源服务中心，建立上下级员工沟通渠道，更好发挥员工积极能动性；4、发展并宣扬公司企业文化，提升企业文化内涵，加强员工关怀，组织员工活动；5、负责公司招聘工作；负责员工入职、转正、异动、离职等相关政策及流程。向高层决策者提供有关人力资源战略、组织建设等方面的建议；合理利用人力资源成本，提高公司整体的综合管理水平。6、参与公司运营决策，制作公司人员分析。7、制定公司日常管理制度并进行更新完善发布，并监督执行。8、有组织策划各项活动的能力。职位要求：1、党员优先考虑，五年以上人力资源工作，三年以上人力资源经理工作经验；2、统招本科及以上学历，人力资源或管理类等相关专业。3、具备现代人力资源管理理念和扎实的理论基础,对绩效管理、组织发展等有较深入认识。4、具有优秀的沟通协调能力与成长潜力；5、精通各类常用办公软件6、积极进取,有强烈的责任心,具备出色的沟通与协能能力
",,行政运营部,不限,无,0人,IT服务/系统集成,50-99人,75%,
人力资源总监,"面议
                                        

"," 
绍兴
",本科及以上,5年以上,语言不限,年龄不限,"五险一金,免费班车,午餐补助,发展空间大,公司规模大,绩效奖金,",职责描述：1、全面统筹规划公司的人力资源战略，根据公司实际情况和发展规划拟定公司人力资源计划，经批准后组织实施，提高公司的综合管理水平。2、根据公司实际情况完善公司人力资源体系，设计人力资源管理模式（包含招聘、绩效、培训、薪酬及员工发展等体系的全面建设），制定和完善人力资源制度，经批准后组织实施。3、研究设计各岗位绩效考核方案并负责组织实施。4、根据公司架构情况及市场行情制定薪酬体系，经批准后组织实施。5、制订人力资源部专业培训计划并协助培训部实施、考核。6、及时处理公司管理过程中的重大人力资源问题7、加强与公司外同行之间的联系。8、完成总经理临时交办的各项任务,"要求：1、本科及以上学历，人力资源、管理或相关专业；2、五年以上大型企业人力资源管理经验；3、熟悉国家、企业关于合同管理、薪金制度、用人机制、保险福利待遇、培训等方面的法律法规及政策；4、具有解决复杂问题的能力，具备独立工作能力及良好的工作推进能力；5、很强的激励、沟通、协调、团队领导能力，责任心、事业心强，具备良好的管理能力和决策能力；
                            ",丰岛控股集团有限公司,不限,无,0人,农/林/牧/渔,1000-2000人,100%,
人力资源总监,"24-36万
                                        

"," 
太仓
",大专及以上,8年以上,语言不限,年龄不限,"五险一金,年底双薪,技能培训,岗位晋升,发展空间大,优秀员工奖,",职责描述：1、负责整个集团公司组织架构、公司政策的制定。2、对公司人力资源管理、体系的建设及组织与实施；3、制定相关人事管理制度、员工培训管理制度，参与制定针对员工的绩效评价体系、公司员工的岗位描述、薪酬福利体系及制度的制定等；4、负责关键人员招聘、调配任免、晋升辞退等工作 ；5、考察、考核、选拔、任用、交流、调整及审核中层领导干部资格，做好公司关键岗位人才培养；6、培训项目开发及组织实施；7、参与公司重大决策，就人力资源方面提出意见或建议，并解答相关问题；8、 与政府机关、集团总部对应部门的联络及部门内部的日常管理工作9、负责完成总经理交办的其他工作。,"要求：教育程度：	 大专及以上 ；专  业： 人力资源管理、劳动经济、工商管理等相关专业工作经验：	8年以上企业人力资源管理经验，5年以上部门管理经验技能要求：	人力管理管理知识和技巧；外语水平：一般；计算机水平：熟练掌握使用办公软件、人力资源管理软件培训要求：	劳动法，人力资源管理师能力素质：1．较强的组织、协调和沟通能力；较强的分析解决问题能力；2．有较强的政策理解、贯彻能力；3．保密意识、服务意识强
",行政人事部,不限,无,0人,电子技术/半导体/集成电路,2000-5000人,65%,
人力资源总监,,,,,,,,,,,,,,,,,
人力资源总监,"36-48万
                                        

"," 
湛江
",本科及以上,10年以上,语言不限,30-45岁,"五险一金,交通补助,通讯津贴,股票期权,午餐补助,定期体检,上市公司,团队聚餐,车辆津贴,发展空间大,公司规模大,优秀员工奖,管理规范,技能培训,",职责描述：1、根据公司经营发展战略，组织制定人力资源战略规划、中长期人力资源管理计划。2、参与公司重大人事决策，为公司经营战略人才需求提供重大人事决策信息支持；3、主持健全完善公司人力资源管理体系、优化管理流程、建立管理规范。4、根据公司发展需求，主持组织架构设计、优化公司管理组织、职能设置。5、组织开展岗位工作分析、岗位评估、岗位配置等相关工作；6、负责健全公司岗位素质模型、岗位胜任力测评体系等相关工作；7、建立有效的人才发展、梯队人才建设、接班人计划等人才培养发展机制；8、负责建立人力资源及各职能管理系统工作流、信息流的有效渠道；9、负责人力资源各职能模块工作的指导、技能培训、考核和管理；10、开发建立有效的人才激励机制、并推动实施；11、负责企业文化建设宣导、企业文化的落地执行；12、负责人力资源系统工作目标的设定、工作计划的指导和目标实现。13、上级安排的其他工作。,"要求：1、本科及以上学历，人力资源管理、企业管理、心理学等相关专业优先；2、500强企业工作经验，三年以上同岗管理经验；3、具有敏锐的人才识别和洞察能力、适应高速发展企业的人才组织建设；4、精通组织建设、目标管理、薪酬激励设计；5、对集团化企业经营管理中，人力资源管理职能发挥有独到的见解；6、较强的行政执行技巧、能承受高强度的工作压力。
                            ",国联集团,不限,无,0人,农/林/牧/渔,1000-2000人,85%,
人力资源总监,"面议
                                        

"," 
重庆-万州区
",大专及以上,8年以上,语言不限,年龄不限,"带薪年假,节日礼物,绩效奖金,午餐补助,年度旅游,五险一金,",职责描述：本岗位为恒森集团总部招聘，工作地点为万州区。 岗位职责： 1、制定人力年度规划及集团人才战略计划； 2、修订完善集团组织体系、管控体系； 3、建立用人标准体系及制定集团招聘计划； 4、完善招聘体系及相关制度、流程； 5、地产高管及下属项目核心管理团队人员招聘配置； 6、搭建企业文化体系。,"要求：1、人力资源管理或相关专业专科以上学历； 2、十年以上行政人事管理经验，三年以上地产集团人力资源总监工作经验； 3、了解现代企业人力资源管理模式和实践经验积累，对人力资源管理各个职能模块均有较深入的认识，熟悉国家相关的政策、法律法规； 4、很强的计划性和实施执行的能力；有亲和力，很强的激励、沟通、协调、团队领导能力，责任心、事业心； 5、具备良好的人际交往能力、组织协调能力、沟通能力以及解决复杂问题的能力。 6、能力优秀者薪酬可面谈。 注：必须地产行业，其他行业请勿投递
                            ",行政人事部,不限,无,0人,房地产开发/建筑/建材/工程,100-499人,97%,
人力资源总监,"面议
                                        

"," 
北京-朝阳区
",统招本科,经验不限,语言不限,年龄不限,"绩效奖金,午餐补助,定期体检,弹性工作,扁平管理,技能培训,上市公司,公司规模大,全勤奖,六险一金,带薪年假,年度旅游,",职责描述：1．根据公司战略目标，制订和推行人力资源部年度工作计划；2．制订、执行、监督和完善公司各项劳动人事制度；3．制订公司绩效考核制度，组织实施绩效考核，并对各部门绩效评价过程进行监督控制，不断完善绩效管理体系； 4．制订薪酬、福利以及相关的激励保障制度；5．根据公司发展的需要，制订并执行人员招聘计划，建立和完善公司的招聘流程和招聘体系；6．做好员工职业生涯发展规划，负责制定后备人才选拔方案和人才储备机制。7．制订并实施公司年度培训计划，组织新员工入职培训及县管制度培训并对培训效果进行调研和评估，督导各部门开展培训工作；9、解决行政人事部与其他部门的协调工作；10、负责协调内外关系，与员工进行积极沟通；帮助各部门建立积极的员工关系，处理劳资纠纷和员工投诉。 ,"要求：1.985/211院校 人力资源管理、心理学、企业及工商管理专业统招本科及以上学历2.经营管理、法律、谈判技巧、财务管理等相关知识培训3.丰富的互联网行业相关工作经验，熟悉国家劳动人事政策法规及人事行政管理经验；4.了解财务、统计学、法学、心理学、组织行为学、公共关系学等专业基本知识，人力资源开发与管理知识，懂得各项业务的基本流程5.熟悉人力资源管理六大模块人力资源规划、招聘与配置、培训与开发、绩效管理、薪酬福利管理、员工关系管理
",人力资源部,不限,无,0人,,50-99人,75%,
人力资源总监,"30-54万
                                        

"," 
南宁-青秀区
",大专及以上,10年以上,语言不限,30-40岁,"1.5倍年薪奖金,年度旅游,公司提供专车,管理规范,节日礼物,交通补助,通讯津贴,带薪年假,弹性工作,领导好,购房津贴,",岗位职责： 1、全面统筹规划人力资源开发及战略管理，拟定人力资源规划方案，并监督各项计划的实施；2、建立并完善人力资源管理体系，研究、设计人力资源管理模式（包含招聘、培训、绩效、薪酬及员工发展等体系的全面建设），制定和完善人力资源管理制度；3、向公司决策层提供人力资源、组织机构等方面的建议并致力于提高公司综合管理水平，控制人力资源成本。,"资格：1、八年以上人力资源管理经验，两年以上大型房地产公司集团人力总监工作经验；3、了解现代企业人力资源管理模式和实践经验积累，对人力资源管理各个职能模块均有较深入的认识，熟悉国家相关的政策、法律法规； 熟悉房地产开发的各项流程及业务；4、很强的计划性和实施执行的能力；有亲和力，很强的激励、沟通、协调、团队领导能力，责任心、事业心； 5、具备良好的人际交往能力、组织协调能力、沟通能力以及解决复杂问题的能力。
                            ",人力资源部,不限,董事长/总经理,5人,房地产开发/建筑/建材/工程,100-499人,30%,
人力资源总监,"12-24万
                                        

"," 
深圳
",硕士及以上,10年以上,普通话,年龄不限,"领导好,技能培训,岗位晋升,发展空间大,",一、岗位职责1、高层管理职位，协助决策层制定公司发展战略，负责其功能领域内短期及长期的公司决策和战略，对公司中长期目标的达成产生重要影响；2、全面统筹规划人力资源开发及战略管理，拟定人力资源规划方案，并监督各项计划的实施；3、建立并完善人力资源管理体系，研究、设计人力资源管理模式（包含招聘、培训、绩效、薪酬及员工发展等体系的全面建设），制定和完善人力资源管理制度；4、向公司决策层提供人力资源、组织机构等方面的建议并致力于提高公司综合管理水平，控制人力资源成本；5、及时处理公司管理过程中的重大人力资源问题，指导员工职业生涯规划；6、负责公司的整体企业文化建设。,"资格1、人力资源管理或相关专业统招硕士以上学历；2、八年以上行政人事管理经验，三年以上人力资源总监工作经验；3、了解现代企业人力资源管理模式和实践经验积累，对人力资源管理各个职能模块均有较深入的认识，熟悉国家相关的政策、法律法规；4、很强的计划性和实施执行的能力；有亲和力，很强的激励、沟通、协调、团队领导能力，责任心、事业心；5、具备良好的人际交往能力、组织协调能力、沟通能力以及解决复杂问题的能力。
                            ",人事行政部,不限,无,0人,计算机软件,100-499人,78%,
人力资源总监,"面议
                                        

"," 
北京-海淀区
",统招本科,8年以上,语言不限,年龄不限,"绩效奖金,带薪年假,通讯津贴,定期体检,五险一金,午餐补助,发展空间大,交通补助,",职责描述：1、全面统筹规划项目公司的人力资源工作，根据实际情况和发展规划拟定人力资源计划，经批准后组织实施，提高综合管理水平；2、根据项目公司实际情况完善公司人力资源体系，设计人力资源管理模式（包含招聘、绩效、培训、薪酬及员工发展等体系的全面建设），制定和完善人力资源制度，经批准后组织实施； 3、研究设计各岗位绩效考核方案并负责组织实施； 4、根据架构情况及市场行情制定薪酬体系，经批准后组织实施；5、制订人力资源部专业培训计划并协助培训部实施、考核； 6、塑造、维护、发展和传播企业文化； 7、及时处理公司管理过程中的重大人力资源问题。,"要求：1、统招本科及以上学历，人力资源类相关专业；2、8年以上人事管理经验，有3年以上人力资源总监工作经验，地产行业管理经验不低于3年； 3、熟悉地产行业人力资源管理模式，实践经验丰富，对人力资源管理各个职能模 块均有较深入的认识，熟悉国家相关的政策、法律法规，具有与各部门负责人的优秀沟通能力； 4、具备战略性思考能力，有极强的计划性和实施执行的能力，较强的激励、协调、团队领导能力。
                            ",人力资源部,不限,无,0人,房地产开发/建筑/建材/工程,1000-2000人,36%,
人力资源总监,"24-30万
                                        

"," 
北京-朝阳区
",统招本科,8年以上,语言不限,年龄不限,"绩效奖金,带薪年假,交通补助,通讯津贴,定期体检,年度旅游,领导好,五险一金,岗位晋升,团队聚餐,发展空间大,",岗位职责：1. 负责子公司嘉盛瑞信人力资源管理工作，统筹嘉盛瑞信人力资源制度、流程的制定与执行；2. 根据嘉盛瑞信业务发展需要，制定人力资源年度工作计划及相关重要工作任务计划； 3、收集嘉盛瑞信用人需求，制定招聘计划及具体实施方案；4、负责嘉盛瑞信员工培训发展计划，积极推进培训落地与执行，并提出建设性改善建议；5. 负责嘉盛瑞信员工绩效管理工作，实现全员绩效意识落地；6. 负责嘉盛瑞信全面激励体系的建立、健全，并能优化相关激励政策；7、负责部门的日常管理工作及部门员工的管理、指导、培训及评估。,"要求：1. 本科及以上学历，人力资源、管理类相关专业优先；2. 具备8年以上人力资源管理相关工作经验，3年以上知名基金、证券、私募公司人力资源总监或高级人力资源经理工作经验；3. 熟悉一级市场投资及房地产行业；4. 熟悉人力资源流程及制度，了解国家相关法律法规5. 能主动适应企业文化、有责任心、积极上进、正直、较强的团队合作精神。
",天津子公司,不限,无,0人,基金/证券/期货/投资,100-499人,31%,
人力资源总监,"面议
                                        

"," 
广州
",统招本科,8年以上,语言不限,30-45岁,"五险一金,带薪年假,年底双薪,午餐补助,定期体检,节日礼物,",工作职责：1、根据公司战略，构建战略性人力资源管理体系，实现组织战略绩效目标；2、整合资源打造战略所需的人才队伍和人力资源效能最大化管理机制；3、强化人力资源管理的专业性和规范性，提升公司核心竞争力；4、及时处理公司管理过程中的重大人力资源问题。,"要求：1、本科及以上学历，人力资源管理、企业管理、心理学等相关专业；2、8年以上人力资源工作从业经验，有大型成熟互联网公司（千人规模）3年以上人力总监工作经验，网游公司背景优先；3、对人力资源管理有深刻的认识和独到的见解，并能根据公司的战略发展和经营目标，在人力资源上给予有力支持；4、有较强的HR理论知识和实务操作能力，对科学的人力资源战略规划、高级人才的发现与引进、薪酬设计、绩效考核、岗位培训等具有丰富的实践经验；5、公正、严谨、敬业，出色的管理沟通能力、统筹协调能力及承压能力。
                            ",人力资源部,不限,无,0人,,500-999人,73%,
