职位,薪金范围,所在地,学历,工作年限,语言,年龄,员工福利,岗位职责,任职要求,所属部门,专业要求,汇报对象,下属人数,行业,公司规模,应聘查看率,是否仅限VIP查看
HRBP,"10-18万
                                        

"," 
杭州
",本科及以上,5年以上,语言不限,年龄不限,"岗位晋升,定期体检,发展空间大,绩效奖金,节日礼物,年度旅游,弹性工作,领导好,","责支持事业线的HR政策、制度、体系与重点项目在所属业务领域内部的落地与推动执行；深入了解所负责领域业务与人员发展状况，满足团队人员招聘，培训，绩效发展，员工关系以及行政事宜协调；提升管理干部的人力资源管理能力，关注关键人才融入与培养，确保持续的沟通与反馈；协助管理层进行人才管理、团队发展、组织氛围建设等，确保公司文化在所属业务领域的落地。本科及以上学历；5年以上人力资源专业经验，在招聘方面有可追踪的业绩，在绩效或者培训方面有相关经验，是加分项人际理解力、沟通协调能力强，善于整合资源驱动目标达成，出色的多任务、多角色平衡能力；抗压性强，能够适应创业公司的节奏以及变化
                            ",,人事部,不限,无,0人,,50-99人,94%,
事业部HRBP(上海）,"面议
                                        

"," 
上海-长宁区
",本科及以上,10年以上,语言不限,年龄不限,"绩效奖金,带薪年假,五险一金,技能培训,发展空间大,上市公司,",工作职责：1、协助事业部负责人制定战略目标、战略目标分解和追踪，以及结合战略目标制定人力资源规划；2、负责事业部人才管理：发展和保留优秀人才，构建人才梯队；3、根据业务需要，负责组织设计和组织发展；4、针对事业部发展过程中遇到的问题、挑战、机遇，结合人力资源理论知识，提出针对性的解决方案；5、负责事业部团队文化建设；,"资格：1、本科以上学历，人力资源管理、心理学相关专业；2、十年以上大中型企业资深HRBP或HRM工作经验、有大型连锁行业或国际酒店行业背景优先考虑；3、具有良好的沟通能力、组织协调能力、商业敏感度和战略思维、做事干练有魄力，成熟稳重。4、熟练掌握人力资源管理理论知识，熟悉人力资源相关法律法规；
",人力资源部,不限,无,0人,旅游/酒店/餐饮服务/生活服务,10000人以上,30%,
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,
HRBP,,,,,,,,,,,,,,,,,
HR高级专员（HRBP）,"18-30万
                                        

"," 
杭州
",本科及以上,3年以上,语言不限,年龄不限,"绩效奖金,五险一金,发展空间大,独角兽公司,",工作职责:1、负责公司文化价值观落地与推进工作，建立有效的文化价值观宣传、评价、激励机制。2、参与公司人力规划、招聘、培训、绩效管理、,盘点、人员激励等各模块工作，完善人力资源管理体系。3、作为HRBP，有效支撑业务部门的人力规划与发展，推动业务部门绩效提升和人员激励，参与设定部门业务目标并评估达成情况，提升员工,人力资源部,不限,无,0人,,100-499人,32%,
HRBP,"13-20万
                                        

"," 
上海
",本科及以上,3年以上,语言不限,年龄不限,"年底双薪,绩效奖金,带薪年假,定期体检,节日礼物,管理规范,技能培训,岗位晋升,五险一金,休闲餐点,优秀员工奖,",岗位：HRBP（招聘方向）岗位职责：1. 全面负责跟进业务部门招聘需求，整合招聘资源；2. 对人员配置逻辑进行管控，并制定相应的招聘策略；3. 贴近业务，深入了解所负责领域业务与人员发展状况，评估并明确组织与人才发展需求，分析问题并提供解决方案；4. 负责相关HR政策、制度、体系与重点项目在所属业务领域内部的落地与推动执行；5. 协助推动各业务线人才发展通道建设并优化，通过人才盘点、关键人才培养、接班人计划等方式为组织选拔、培养和保留人才；6. 积极主动和管理层、员工互动，建立有效和多样化的渠道，保证组织中信息的通畅；7. 为业务提供有力的人力资源正常、工具的的支持，工作流程的持续优化；8.  完成上级交办的其它临时性任务。,"要求： 1、全日制本科及以上学历，2年以上招聘及相关工作经验，有教育行业工作经验优先；2、熟悉人力资源各大模块，有丰富的经验，能够深入的思考，遇到问题时能够快速准确做出专业判断和决策；3、熟悉劳动法，能够熟练依据法律法规给予管理者和员工有效的建议并解决问题；4、具备良好的逻辑思考，数据分析能力、沟通能力、学习能力，积极主动，有责任心，抗压性强；5、具备优秀的协调沟通能力，能协调内外部资源与他人合作达达成。
                            ",人力资源部,不限,招聘/HRBP经理,0人,教育/培训/学术/科研/院校,100-499人,30%,
高级HRBP专员（招...,,,,,,,,,,,,,,,,,
HRBP,"17-23万
                                        

"," 
深圳-罗湖区
",本科及以上,3年以上,语言不限,年龄不限,"定期体检,弹性工作,节日礼物,带薪年假,五险一金,发展空间大,年底双薪,",null岗位职责：1.担当业务部门负责人的人力资源顾问与合作伙伴，为组织发展提供人力资源支持，定期进行组织盘点，在招聘、培训、绩效考核、薪酬、员工关系等方面为业务部门提供有效的解决方案并实施；2. 主动与事业部管理层、一线主管及员工进行多种形式的接触和有效沟通，保证信息在不同层级间的有效传递；3.开展员工访谈，掌握员工动态和个人需求，并协助部门开展员工关怀活动和培训；4.在业务部门内推动公司层面的变革，负责完善业务部门人力资源的制度、流程、体系；提升人力资源运作效率；5.对业务有洞察力，快速学习并推进到业务团队的发展，协助部门进行内部组织结构优化，提高团队凝聚力，提高核心员工的稳定性。6. 传承公司文化，发扬价值观，建设沟通渠道，保证组织的持续健康成长；,"标准：1. 本科及以上学历，3-5年及以上人力资源工作经验，在招聘/绩效管理/员工关系/组织发展等某一模块有丰富的经验。，有互联网公司或HRBP/HRM经验优先考虑；2. 具有良好的业务理解力和洞察力，能够从外部市场＋内部业务角度形成深刻理解，进行HR的工作规划以及对应方案；3. 具有对人和对组织的敏感度，能够进行组织&人员诊断，并针对问题，形成有效方案并能够推进落地；4. 有亲和力； 能够从组织文化和团队建设的角度进行诊断和设计，促进组织能量的提升；4.优秀的沟通协调和关系建立能力，能够胜任多任务多角色的工作环境；5.强烈的自我驱动力，较强的快速适应、学习能力及抗压能力。6.可接受长期出差
",人力资源及行政部,不限,无,0人,,1000-2000人,49%,
HRBP,,,,,,,,,,,,,,,,,
HRBP-上海,"17-23万
                                        

"," 
上海-长宁区
",本科及以上,3年以上,语言不限,年龄不限,"定期体检,弹性工作,节日礼物,带薪年假,五险一金,发展空间大,年底双薪,",岗位职责：1.担当业务部门负责人的人力资源顾问与合作伙伴，为组织发展提供人力资源支持，定期进行组织盘点，在招聘、培训、绩效考核、薪酬、员工关系等方面为业务部门提供有效的解决方案并实施；2. 主动与事业部管理层、一线主管及员工进行多种形式的接触和有效沟通，保证信息在不同层级间的有效传递；3.开展员工访谈，掌握员工动态和个人需求，并协助部门开展员工关怀活动和培训；4.在业务部门内推动公司层面的变革，负责完善业务部门人力资源的制度、流程、体系；提升人力资源运作效率；5.对业务有洞察力，快速学习并推进到业务团队的发展，协助部门进行内部组织结构优化，提高团队凝聚力，提高核心员工的稳定性。6. 传承公司文化，发扬价值观，建设沟通渠道，保证组织的持续健康成长；,"标准：1. 本科及以上学历，3-5年及以上人力资源工作经验，在招聘/绩效管理/员工关系/组织发展等某一模块有丰富的经验。，有互联网公司或HRBP/HRM经验优先考虑；2. 具有良好的业务理解力和洞察力，能够从外部市场＋内部业务角度形成深刻理解，进行HR的工作规划以及对应方案；3. 具有对人和对组织的敏感度，能够进行组织&人员诊断，并针对问题，形成有效方案并能够推进落地；4. 有亲和力； 能够从组织文化和团队建设的角度进行诊断和设计，促进组织能量的提升；4.优秀的沟通协调和关系建立能力，能够胜任多任务多角色的工作环境；5.强烈的自我驱动力，较强的快速适应、学习能力及抗压能力。6.可接受长期出差
",人力资源及行政部,不限,无,0人,,1000-2000人,49%,
HRBP经理,"22-30万
                                        

"," 
北京
",统招本科,3年以上,语言不限,年龄不限,"五险一金,绩效奖金,带薪年假,年度旅游,节日礼物,技能培训,岗位晋升,",职责描述：1.根据业务发展需要及编制数拟定部门招聘、培训计划；2. 负责项目团队的团队组建、人员招聘、日常培训、员工关系、绩效管理等HR全模块。3. 项目培训的方案设计和组织落地管理，包括新员工培训项目、管理培训项目等；4、日常员工关系管理，对员工的入职、离职、转正、调动等进行审核并执行；5、协助优化、完善公司的人力资源管理体系，提出相关的合理化建议，提升人力资源管理工作有效性；6、月度数据统计分析和总结；7、完成领导安排的其他工作。,要求：HRBP经理,优胜派,不限,HRD,3人,教育/培训/学术/科研/院校,10000人以上,30%,
HRBP,"10-12万
                                        

"," 
成都
",本科及以上,5年以上,语言不限,年龄不限,"年底双薪,午餐补助,五险一金,",岗位职责：1、深入了解业务部门人力资源需求和挑战，通过与HR职能部门协作，提出有针对性的解决方案并负责落地实施和跟踪；2、保障员工成功部出台的政策和流程符合业务部门短期/长期业务需求；3、负责公司人力资源政策流程的落地实施和跟踪反馈；4、帮助提升所负责业务部门各级管理者的领导力和人力资源管理能力；5、定期进行人才梳理，对业务部门的人力资源需求和问题进行预测和预警，进行事前管理；参与所在业务部门的人才发展通道建设；6、保持员工在企业生命周期的全程关注、员工关系的主动维护和处理；7、为公司管理层提供所负责部门的相关数据和人力资源专业建议；8、支持企业文化变革。 ,"要求：1、人力资源全模块业务能力，系统性思维，HRBP经验5年以上；2、良好的沟通能力、影响力、推动力、问题解决能力；3、较强的积极主动性，快速响应、高效执行的能力
                            ",技术事业群,不限,副总经理,0人,互联网/移动互联网/电子商务,100-499人,79%,
HRBP,"7-10万
                                        

"," 
上海-嘉定区
",大专及以上,3年以上,普通话,30-35岁,"节日礼物,定期体检,五险一金,午餐补助,年度旅游,发展空间大,优秀员工奖,免费班车,扁平管理,领导好,带薪年假,技能培训,岗位晋升,管理规范,",岗位职责：1、与业务部门搭档，了解业务战略并促进人力资源战略在业务部门的有效规划和实施；2、全权负责HRBP各项工作跟踪、落实，为组织的发展提供支持；   通过建立机制协助发展中的部门的组织保障， 包括招聘、培训（人才培养）、绩效、员工关系等人力资源工作；3、通过主动和管理层、员工的互动，建立有效和多样化的渠道，保证组织中信息的通畅；4、协助HR后台功能的健全发展，参与制订人力资源全面解决方案，能独立做方案设计；5、根据公司人力资源整体管理理念，落定业务团队人员管理等事宜；   如：业务团队架构、人才梯队管理、人员状态管理、人员激励等工作；,"资格：1、大专及以上学历，人力资源管理、劳动经济学、管理学等相关专业；2、3年以上综合HR从业经验，有过快销品&零售行业HRBP同岗位经验更佳。3、熟悉人力资源日常管理工作流程，了解并掌握人力资源各项管理工具、技术和资源；4、性格外向，具备极强的责任心和原则性，良好的人际沟通及协调能力，良好的学习能力；5、有主观能动性，且能接受加班，有效完成相关工作。
                            ",人事部,不限,无,0人,食品/饮料/烟酒/日化,1-49人,97%,
HRBP(招聘方向),"7-10万
                                        

"," 
上海
",硕士及以上,经验不限,语言不限,年龄不限,"带薪年假,交通补助,通讯津贴,午餐补助,定期体检,弹性工作,节日礼物,扁平管理,岗位晋升,五险一金,发展空间大,绩效奖金,",职责描述：1、根据招聘计划，与各部门保持沟通，明确招聘需求；2、根据招聘规划，开拓、建设和维护渠道关系，3，简历筛选，电话面试，组织面试，薪酬洽谈，录用及入职管理；4，建立人才储备机制，储备公司发展需要人才；5，撰写雇主品牌宣传文案，参与招聘微信号的运营；6，配合人力资源部进行培训，绩效，企业文化相关工作；,"要求：1、人力资源、心理学相关专业本科及以上学历；2、掌握人力资源知识，具备招聘技能；3、良好的逻辑思维能力，沟通表达能力，团队协作能力；4，热爱招聘工作，积极主动，踏实肯干，善于思考，文笔佳；
                            ",人力资源部,不限,无,0人,专业服务(咨询/财会/法律/翻...,100-499人,76%,
HRBP-head,"

我感兴趣 请联系我
","
上海
        ",本科,8年经验,,,,"
       Job Responsibilities:1、建立并完善人力资源管理体系，研究、设计人力资源管理模式（包含招聘、绩效、培训、薪酬及员工发展等体系的全面建设），制定和完善人力资源管理制度
2、通过组织诊断和业务梳理，为业务部门的战略落地提供建议、规划并参与实施，搭建并优化组织结构，制定人力规划，进行人员调整；
3、以HR的视角参与业务部门管理工作，完善业务部门团队建设和人才发展通道建设，帮助部门保留核心员工，培养和提高管理者的领导力意识和人力资源管理能力。
4、定期组织人才盘点，针对核心和高潜员工做人才发展计划，根据业务发展需要，针对工作场景和人群，设计和实施人才培养项目；
5、依据公司企业文化，嫁接入企业内，激活文化在组织中的催化作用，与业务一道挖掘消费服务的核心竞争力，打造服务品牌；
6、管理、培训HRBP团队，确保各HRBP能够支持业务部门的发展；
7、领导交派的其他工作任务
Requirements:1、全日制本科以上，人力资源、心理学及相关专业优先
2、熟悉人力资源六个模块，并具备丰富的实务操作经验；
3、有过HRBP管理经验，对业务部门能够快速熟悉管理

      ",,,,,,,,,
HRBP,"

我感兴趣 请联系我
","
上海
        ",本科,8年经验,,,,"
       1、理解公司发展战略、人力资源政策及流程体系，并负责所对接业务部门(领域)的人力资源政策及流程体系的执行与落地； 2、深入了解所对接业务部门(领域)及其人才发展状况，负责所对接业务部门（领域）的人力资源进行合理有效配置，对人才队伍进行有效运营，并明确人才发展及需求规划，保障业务发展对人才的需求； 3、及时发现及关注业务发展中的HR需求与痛点，为业务部门（领域）提供HR解决方案，并推动方案执行落地； 4、带领部门助理，组织贯彻公司在公司战略、公司文化、人才培养、绩效体系等方面的运营工作，打造有激情、有活力的组织氛围； 5、定期向所对接业务部门（领域）负责人及HR负责人汇报人力资源运营情况。 ","要求： 1、全日制本科以上学历； 2、3年以上中大型企业人力资源工作经验，有HRBP工作经验，或者至少在两个以上HR模块有深入的工作经验； 3、最好有科技行业工作背景，熟悉行业人才市场状况； 4、具体有较好亲和力，态度积极端正、善于沟通，较强的责任感和服务意识及抗压能力；
      ",,,,,,,,
hrbp总监,"

我感兴趣 请联系我
","
杭州-西湖区
        ",本科,4年经验,,,,"
       职位介绍
职责描述:
岗位职责:
1 深入贴近战略发展中心业务进展及人力现状,制定HR策略及计划并能有效落地,从而保障组织效能不断提升;
2 组织内中坚管理能力的培养及打造,促进管理意识与能力的不断增强;
3 公司文化传承,打造良好的沟通渠道与机制,以保障组织更持续健康成长;
4 部门核心人才的配置与发展工作。
岗位要求:
1 统招全日制本科及以上学历;
2 3年以上中等规模公司(500人以上)人力资源全模块管理经验,有大区HRBP经验优先;
3 具备极强的责任心和原则性,良好的人际沟通及协调能力;
4 熟悉人力资源各大模块,至少精通其中两个模块,并具备丰富的实务操作经验;
5 具备敏锐的观察力,分析能力与团队合作精神。

      ",,,,,,,,,
HRBP（对接非营销...,,,,,,,,,,,,,,,,,
HRBP,"面议
                                        

"," 
南京
",大专及以上,7年以上,语言不限,年龄不限,"年底双薪,带薪年假,节日礼物,定期体检,领导好,五险一金,发展空间大,公司规模大,",职责描述：1、充分了解公司的管理及业务模式，理解人力资源政策及流程，担当所负责部门的人力资源顾问与合作伙伴，提供必要的建设性意见和建议；2、理解业务战略和业务目标，识别业务痛点，通过提供在专业领域如人才管理、人力规划、变革管理上的人力资源解决方案，支持业务战略达成；3、督促贯彻企业文化、价值观、政策及流程在部门的执行；4、负责公司人员招聘流程管理相关项目的实施、监督、评估与宣贯，辅助战略重点落地，协助培养组织需求的人才；5、完成人力资源解决方案执行，确保人力资源政策、制度、体系与重点项目的落地与推动执行；6、积极关注员工思想动态，给予相应地导，并将问题进行反馈和处理。7、完成上级交办的其他工作。,"资格：1、大学本科以上学历，人力资源管理等相关专业；2、4年以上人力资源管理经验，其中1年大型互联网或物流行业BP经验；3、具有较强的沟通协调能力，抗压适应能力强；4、对现代企业人力资源管理模式有系统的了解和实践经验积累，对人力资源管理各个职能模块均有较深入的认识和见解；5、熟悉国家、地方及企业关于合同管理、薪金制度、用人机制、保险福利待遇、培训等方面的法律法规及政策；
                            ",人力资源部,不限,无,0人,互联网/移动互联网/电子商务,2000-5000人,30%,
HRBP,"12-18万
                                        

"," 
北京
",本科及以上,5年以上,普通话,年龄不限,"领导好,技能培训,岗位晋升,发展空间大 ,",岗位职责招聘1. 根据招聘需求，建立和维护合适的招聘渠道，并不断进行拓展及深入挖掘；2. 发布职位职位信息、简历筛选、安排及参与面试；3. 分析跟踪招聘效果，提供招聘分析报告；员工与劳务关系1. 公司日常规章制度的制订与执行（例如考勤、请假、倒休等）；2. 负责与公司员工的劳动合同签署、续签、变更及解除的书面工作的执行与管理；3. 当公司员工出现负面情绪或与其他成员产生矛盾时在公司管理层与项目组负责帮助下疏解情绪、化解矛盾从而维护正常健康的工作氛围及环境。,"要求1. 国家统招本科及以上学历，人力资源或管理类相关专业优先；2. 有游戏行业HR工作经验者优先；3. 熟练掌握绩效体系建立的各种专业工具与方法；4. 熟悉招聘流程及国家相关法律法规及各种招聘渠道，熟练掌握相关招聘技巧及工具，能独立完成日常招聘工作；5. 具备优秀的沟通能力，协调能力、分析能力、具备较强的文字功底，良好的团队合作精神；6. 具有良好的职业道德及沟通、协调、谈判能力，抗压性强；7. 熟练使用office办公软件；
                            ",,不限,无,0人,,50-99人,95%,
全国HRBP（经理级）,"12-24万
                                        

"," 
上海
",本科及以上,5年以上,语言不限,年龄不限,"年底双薪,绩效奖金,带薪年假,交通补助,通讯津贴,午餐补助,年度旅游,领导好,岗位晋升,五险一金,团队聚餐,",工作职责：1. 担任全国中后台部门的伙伴角色（hrbp）2. 了解全国职能部门的战略，对公司业务进行组织诊断，为业务部门的战略落地提供建议，规划并参与实施；3. 为组织发展提供提供人力资源支持，定期进行组织盘点，在招聘，绩效考核等方面为公司提供有效的，持续改善的解决方案并实施；4. 负责完善业务部门人力资源的制度，流程， 体系，提升人力资源运作效率；5. 主动与公司各部门进行多种形式的接触与有效沟通，保证信息在不同层级间的有效传递；6. 执行组织绩效分解及各个部门员工的个性化绩效激励方案的制定并落实推动与实施；7. 推动业务部门因市场需要而进行的组织变革，确保变革顺利和有效。,资格：1. 本科学历，人力资源管理专业，企业管理专业优先；2. 6年以上的人力资源工作经验，其中3年集团公司国内营销系统人力资源管理工作经验，擅长招聘，绩效考核模块工作；3. 具备现代人力资源管理理念和扎实的理论基础，熟悉现代企业薪酬绩效管理体系设计方法；4. 熟悉组织体系的划分，岗位说明书，,人力资源中心,不限,HRD,0人,基金/证券/期货/投资,100-499人,86%,
HRBP,"10-18万
                                        

"," 
杭州
",统招本科,3年以上,语言不限,年龄不限,"带薪年假,午餐补助,节日礼物,五险一金,公司规模大,交通补助,扁平管理,优秀员工奖,岗位晋升,发展空间大,技能培训,",岗位职责：1、 根据公司业务发展需求，开展培训需求调研并分析制定计划及预算；2、 负责培训项目的设计、开发、实施、跟踪及评价，完善现有内训师及课程体系；3、 制定绩效考核规章制度，做好日常绩效管理工作；4、 针对不同岗位，制定适宜的绩效考核方法；5、 协助部门做好其他人力资源工作。,"要求：1、本科以上学历，3-5年人力资源工作经验，擅长培训、绩效模块。2、良好的规划和执行能力，组织协调能力，解决和分析问题能力；3、良好的沟通能力，逻辑思维能力和抗压能力。
                            ",人事部,不限,无,0人,基金/证券/期货/投资,100-499人,91%,
HRBP(南宁）,"5-7万
                                        

"," 
南宁-青秀区
",大专及以上,2年以上,语言不限,年龄不限,"发展空间大,绩效奖金,带薪年假,全勤奖,优秀员工奖,节日礼物,岗位晋升,领导好,年度旅游,管理规范,技能培训,",分公司（南宁、贵阳、成都急需）HRBP岗位职责描述： 1、负责招聘渠道的开发、甄选、维护和对渠道利用率的效能管控；2、负责分公司的招聘与配置规划，内外部人员储备机制的搭建；3、负责分公司员工入离职相关管理工作；4、负责分公司员工关系和培养工作的体系搭建和实施工作；5、协助总部人资部门开展分公司的其他工作和定期反馈工作；,"要求：1、专科学历以上，3-5年工作经验，35岁以下，具有HRBP工作经历者优先、婚育优先；2、性格开朗，责任心强，具有辅导员工成长的意识和一定的抗压能力。2、婚育，生活稳定；3、性格开朗，责任心强。
",人资部,不限,无,0人,银行,100-499人,97%,
