职位,薪金范围,所在地,学历,工作年限,语言,年龄,员工福利,岗位职责,任职要求,所属部门,专业要求,汇报对象,下属人数,行业,公司规模,应聘查看率,是否仅限VIP查看
人力资源部门经理,"
                    	100-150万
                    ",北京,学历不限,10年以上,语言不限,30-50岁,,"
               、按照集团总体发展战略，协助总裁制定集团发展战略规划、审核各企业经营计划，并负责组织、实施集团日常运营及管理；2、根据集团企业发展战略指导行政人力资源规划，并制订中、长期人力资源发展计划；3、建立和完善人力资源管理体系，制订并组织实施人力资源管理制度（包含招聘、培训、绩效、薪酬及员工发展等；4、负责部门团队管理，擅长各类中高级人才的甄别和选拔，完善公司人才储备和梯队建设；5、定期向高层决策者提供有关人力资源战略、组织建设、行政管理等方面的专项建议，为公司重大决策提供人力资源信息支持；6、及时处理公司人事行政管理中的重大问题，负责公司的企业文化建设；7、规范完善公司行政管理系统，制订并完善公司各项行政制度，提供各项行政后勤支持。
            ",,职能部门,不限,总监,200人,,,"
80%
							",1
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,1
人力资源总经理,"
                    	15-20万
                    ",衢州,本科及以上,5年以上,普通话,30-40岁,,"
               1.	高层管理职位，协助决策层制定公司发展战略，负责其功能领域内短期及长期的公司决策和战略，对公司中长期目标的达成产生重要影响；2.	全面统筹规划人力资源开发及战略管理，拟定人力资源规划方案，并监督各项计划的实施；3.	建立并完善人力资源管理体系，研究、设计人力资源管理模式（包含招聘、培训、绩效、薪酬及员工发展等体系的全面建设），制定和完善人力资源管理制度；4.	向公司决策层提供人力资源、组织机构等方面的建议并致力于提高公司综合管理水平，控制人力资源成本；5.	及时处理公司管理过程中的重大人力资源问题，指导员工职业生涯规划；6.	负责公司的整体企业文化建设。
",,人力资源部,不限,副总,0人,,,"
100%
							",1
人力资源副经理,"
                    	15-25万
                    ",深圳,学历不限,3年以上,语言不限,20-50岁,,"
               职责描述：1.负责招聘工作，做好新员工试用期管理；2.做好员工面谈，动态了解员工工作状况；3.负责员工关系领域的各项工作；4.完成部门负责人交办的专项事务。
            ",,人力资源,不限,人力资源经理,0人,,,"
100%
							",1
 集团人力资源经理,"
                    	20-40万
                    ",成都,大专及以上,4年以上,语言不限,26-50岁,,"
               岗位职责： 1、 负责制定集团人力资源中长期规划和年度计划，完成集团机构变革与调整的相关工作，组织集团各部门、各所属企业制定与落实定岗、定编、定责计划。2、 建立与完善集团人力资源管理体系，研究、设计人力资源管理模式（包含招聘、培训、薪资、绩效及员工发展等体系的全面建设），制定和完善人力资源管理制度及流程。3、制定集团年度人力资源需求计划，选择合适招聘渠道，落实招聘工作，优化人力资源结构。4、负责薪资、福利管理，定期开展薪酬调研及人力成本分析，为集团薪酬政策调整提供依据，并落实集团人力资源成本控制与管理，以及本部门费用预算的使用与管理。5、组织制定集团绩效计划，和开展绩效管理各项工作，确保集团绩效政策及激励导向的有效落实。6、制定集团年度培训计划并监督实施，确保培训计划的顺利完成。同时，结合集团战略和业务需要，制定实施后备人才培养方案。7、建立与完善集团劳动关系管理制度，规避企业用工风险，建立和谐、健康的劳资关系，落实劳动合同、保密协议、竞业协议等管理工作。8、负责建立畅通的沟通渠道，及时了解集团各部门和各所属企业员工意见及想法。9、负责集团人事会议的筹备与组织工作。10、负责员工考勤、请休假、晋升、降职降级、入离职、五险一金、人事奖惩、评优表彰、职务任免、岗位异动、人事档案等日常管理工作。11、负责组织集团各部门、各所属企业制定各部门工作职责、权限和工作标准，建立各部门岗位责任制度，指导、监督、检查与考核集团各部门、各所属企业人才队伍建设及人力资源管理。12、负责向集团提供人力资源、组织机构、中高端人才、关键岗位人才等方面的建议，及时处理生产经营管理过程中重大、复杂的人力资源问题，指导员工职业生涯规划与发展。13、在权限范围内，负责审核审批人力资源相关文件、流程及事项。14、负责集团的团队建设和企业文化建设，宣导集团核心价值理念和人才发展理念。15、负责与集团主管领导的工作衔接及配合，并接受其业务指导与管理监督。
            ",,人力,不限,总监,0人,,,"
97%
							",1
集团人力资源经理,"
                    	20-40万
                    ",成都,大专及以上,4年以上,语言不限,26-50岁,,"
               1、 负责制定集团人力资源中长期规划和年度计划，完成集团机构变革与调整的相关工作，组织集团各部门、各所属企业制定与落实定岗、定编、定责计划。2、 建立与完善集团人力资源管理体系，研究、设计人力资源管理模式（包含招聘、培训、薪资、绩效及员工发展等体系的全面建设），制定和完善人力资源管理制度及流程。3、制定集团年度人力资源需求计划，选择合适招聘渠道，落实招聘工作，优化人力资源结构。4、负责薪资、福利管理，定期开展薪酬调研及人力成本分析，为集团薪酬政策调整提供依据，并落实集团人力资源成本控制与管理，以及本部门费用预算的使用与管理。5、组织制定集团绩效计划，和开展绩效管理各项工作，确保集团绩效政策及激励导向的有效落实。6、制定集团年度培训计划并监督实施，确保培训计划的顺利完成。同时，结合集团战略和业务需要，制定实施后备人才培养方案。7、建立与完善集团劳动关系管理制度，规避企业用工风险，建立和谐、健康的劳资关系，落实劳动合同、保密协议、竞业协议等管理工作。8、负责建立畅通的沟通渠道，及时了解集团各部门和各所属企业员工意见及想法。9、负责集团人事会议的筹备与组织工作。10、负责员工考勤、请休假、晋升、降职降级、入离职、五险一金、人事奖惩、评优表彰、职务任免、岗位异动、人事档案等日常管理工作。11、负责组织集团各部门、各所属企业制定各部门工作职责、权限和工作标准，建立各部门岗位责任制度，指导、监督、检查与考核集团各部门、各所属企业人才队伍建设及人力资源管理。12、负责向集团提供人力资源、组织机构、中高端人才、关键岗位人才等方面的建议，及时处理生产经营管理过程中重大、复杂的人力资源问题，指导员工职业生涯规划与发展。13、在权限范围内，负责审核审批人力资源相关文件、流程及事项。14、负责集团的团队建设和企业文化建设，宣导集团核心价值理念和人才发展理念。15、负责与集团主管领导的工作衔接及配合，并接受其业务指导与管理监督。
",,人力,不限,总监,0人,,,"
100%
							",1
高级人力资源经理,"
                    	40-70万
                    ",东莞,统招本科,5年以上,语言不限,30-45岁,,"
               1、根据公司经营战略，规划公司人力资源的整体发展，制订与公司经营战略相匹配的人力资源规划，最大限度地开发人力资源，确保人力资源满足公司业务发展需求，促进集团战略目标的实现和长远发展。2、优化公司招聘体系、薪酬及福利体系、激励与约束机制、绩效考核体系、培训体系，研究、设计人力资源管理模式，符合企业经营发展的战略目标； 3、负责建立并维护人力资源管理规章制度和流程；4、建立后备人才选拔方案和人才储备机制，根据公司发展状况和社会人才供应状况，协助建立和完善公司人才发展机制；5、拟订人力资源成本预算，监督控制预算的执行；6、统筹管理招聘、薪酬、绩效、员工关系、培训版块工作。要求：教育背景1.1全日制本科及以上学历，人力资源、工商管理等相关专业；工作经验 2.1 8年以上人力资源管理工作经验，3年以上大中型企业同等职位工作经验；2.2 经历系统人力资源管理培训。知识 3.1熟悉国家劳动法律法规、人力资源政策及企业人力资源管理知识；3.2 熟悉人才测评的专业理论知识，熟悉人才测评方法和相关法律法规；技能/能力 4.1具备计划安排能力、项目管理能力；4.2 具备优秀的团队建设能力、问题发现与解决能力、逻辑思维能力及沟通表达能力；4.2执行力强、较强的影响力及推动力，关注细节；4.3具备搭建体系及推动执行的能力；职业素养 5.1 具有高度的敬业精神，高标准要求自己，对自己的行为及言行负责；5.2 具有优秀的个人品质，诚实守信、关注细节，计划执行力良好，注重个人形象；5.3优秀的团队协助精神，工作投入度高。
",,人力资源,不限,总经理,10人,,,"
<15%
							",1
人力资源高级经理,"
                    	30-45万
                    ",杭州,统招本科,5年以上,语言不限,29-50岁,,"
               1、依据公司发展战略，协助人力总监组织制定集团人力资源战略规划。2、根据集团战略和人力发展规划，提出机构设置、岗位设置与人员配备方案，筹划并实施人才储备及梯队建设。3、参与公司人事决策，组织制定招聘、培训、薪酬、绩效、福利、员工关系、企业文化等人力资源管理规范、各项规定和管理流程并负责具体实施落实。4、负责实施招聘、培训、薪酬、绩效等人力各项工作并落实。5完善激励机制，合理规划和控制人力资源成本。6、负责员工劳动合同管理并处理与劳动关系相关的各项事宜。7、负责公司绩效考核管理及相关申诉处理工作。8、负责制定集团员工的职业生涯规划，并负责组织员工的晋级和专业技术职称评定工作。9、与子公司建立良好对接，对其人力资源工作各模块建议进行动态管理。10、对公司管理过程中的重大突发事件及时提出应对方案并进行处理。11、负责拟定集团及审核子公司人员编制和年度人力成本预算。12、负责人力资源部内部组织管理工作，指导下属制订阶段性工作计划，并监督执行。对各子公司人力资源部的组织管理进行监督指导。13、建立并维护与劳动部门的良好对接，配合劳动部门的相关检查，处理相关人事纠纷
            ",,人力,不限,HRD,10人,,,"
100%
							",1
人力资源总经理,"
                    	150-180万
                    ",北京,统招本科,10年以上,语言不限,31-38岁,,"
               1、全面统筹规划集团公司的人力资源战略和人力资源开发工作，督促公司人力资源略的执行； 2、搭建集团人力资源平台，建立并完善人力资源管理体系，研究、设计人力资源管理模式（包含招聘、绩效、培训、薪酬及员工发展等体系的全面建设），制定和完善人力资源管理制度； 3、向公司董事长提供有关人力资源战略、组织建设等方面的建议，并致力于提高公司的综合管理水平； 4、负责建立畅通的沟通渠道和有效的激励机制，指导各子公司的人力资源工作塑造、维护、发展和传播企业文化；为公司员工设计职业生涯规划； 5、负责公司的月度、年度计划与总结工作； 6、组织制定公司人力资源发展的各种规划，并监督各项计划的实施； 7、进行人力结构分析，提出人力结构优化方案，协助各部门进行岗位/机构调整； 8、及时处理公司管理过程中的重大人力资源问题 。
            ",,商业,不限,总裁,1人,,,"
98%
							",1
人力资源总经理,"
                    	70-100万
                    ",杭州,统招本科,3年以上,语言不限,33-40岁,,"
               1、本科及以上学历，专业不限；45周岁以下；2、10年以上人力资源管理经验，企业人力资源副总裁或集团人力资源部总经理","经历优先；3、了解现代企业人力资源管理模式和实践经验积累，对人力资源管理各个职能模块均有较深入的认识，熟悉国家相关的政策、法律法规；4、很强的计划性和实施执行的能力；有亲和力，很强的激励、沟通、协调、团队领导能力；5、具备良好的人际交往、组织协调能力，以及解决复杂问题的能力；6、富有激情,具有拼搏精神、创新精神，能承受工作压力。
            ",公司,不限,CHO,0人,,,"
100%
							",1
人力资源部经理,"
                    	10-25万
                    ",北京,大专及以上,5年以上,语言不限,28-38岁,,"
               工作职责：1、建立并完善公司人力资源管理体系，研究、设计适合公司发展的人力资源管理模式（包含招聘、绩效、培训、薪酬、员工发展等体系的全面建设），制定和完善人力资源管理制度。2、向公司高层提供有关人力资源战略，组织建设等方面建议，并致力于提高公司综合管理水平。3、组织制定公司人力资源发展的各种规划，并监督执行计划的实施4、完成中心领导及总经理临时交办的各项工作任务职位要求：1、本科及以上学历，人力资源、管理或相关专业；年龄35岁以内，三年以上行业企业岗位经验。2、熟悉人力资源日常工作流程，对人力资源的战略规划、人才的引进、薪酬福利设计、绩效激励考核、员工培训、员工职业生涯设计等方面具有丰富的实践经验。3、熟悉国家、企业关于合同管理、薪金制度、用人机制、保险福利待遇、培训等方面的法律法规及政策。4、很强的激励、沟通、协调、团队领导能力，责任心、事业心强，具备良好的管理能力和决策能力。
            ",,信息中心,不限,人力资源总监,0人,,,"
100%
							",1
人力资源总经理,"
                    	70-100万
                    ",浙江省,统招本科,8年以上,语言不限,35-42岁,,"
               全盘负责集团人力资源部门管理，包括人才系统搭建，人才战略规划，梯队建设，架构优化，各模块管理
            ",,人力资源中心,不限,集团副总裁,0人,,,"
100%
							",1
集团人力资源经理,"
                    	30-40万
                    ",上海,统招本科,5年以上,语言不限,20-30岁,,"
               岗位职责：1、了解业务战略，制定人力战略及政策并促进落地；2、统筹人力资源各模块管理，推动招聘、薪酬、绩效、员工发展、培训与文化、员工关系等有效运行；3、关注业务部门各组织、层级、人员配置合理性，协助组织架构调整，并提出合理建议；4、制定公司薪酬绩效方案并落地；5、建立公司培训体系并执行；6、配合公司政策，根据沟通策略及计划，了解和疏导员工心理问题，为降低用工风险提供支持；7、关注国家及地区相关劳动法规，建立和完善劳动风险监控机制，建立和谐员工关系；8、根据要求负责HR其它项目工作；岗位要求：1、全日制本科及以上学历，5年以上人力资源管理工作经验，有绩效/培训/组织发展模块经验优先；2、快消/零售行、互联网/电商行业经验优先；3、较强的沟通表达、逻辑思维能力；4、责任心强，冲劲足，能在压力下工作。
",,人力资源,不限,总监,8人,,,"
100%
							",1
广州人力资源经理,"
                    	20-30万
                    ",广州,本科及以上,2年以上,普通话,26-40岁,,"
               1、三年以上人力资源管理工作经验，有互联网、IT大型企业人力资源管理工作经验优先；2、熟悉人力资源招聘、培训模块的流程、专业知识，熟悉国家、省事劳动人事法规政策； 3、具有较强的语言表达能力、人际交往能力、应变能力、沟通能力及解决问题的能力，有亲和力，较强的责任感与敬业精神； 4、能独立完成富有激情的培训课程，可以独立完成公司培训体系架构的建设、独立开发课件；5、熟悉各种招聘渠道及本地区的招聘特点，带领部门完善招聘、培训工作；6、熟练使用常用办公软件及网络应用。
            ",,人力资源部,不限,人力资源总监,2人,,,"
100%
							",1
人力资源高级经理,"
                    	20-45万
                    ",天津,学历不限,3年以上,语言不限,25-40岁,,"
               1、执行总部人力资源各项制度，并及时向职能本部反馈执行情况；2、制定并组织实施本地区年度人力资源规划，不断优化人员配置；3、依据总部人才发展战略与规划，执行本地区员工职业发展规划；4、执行总部制定的薪酬福利方案与绩效考评制度；5、监督、控制本地区人力资源成本；6、处理本地区员工投诉及劳动争议与工伤、劳动纠纷，维持良好的员工关系；7、依据总部的用工政策，制定本地区灵活用工模式推广和执行的计划。
            ",,人力资源部门,不限,部门负责人,0人,,,"
99%
							",1
人力资源总经理,"
                    	80-100万
                    ",北京,本科及以上,15年以上,语言不限,35-45岁,,"
               岗位职责：1、研究、开发、实施公司新的人才管理战略，支持公司快速全国布局的战略目标；2、重新梳理整个集团人力资源管理体系，加强内控，提高团队专业化水平，提升整个集团的良性人力资源管理氛围；3、优化集团人力资源管控模式，建立标准化作业体系，实现集团、区域公司、项目公司，各个职能条线、各个专业模块的标准化作业流程；4、启动公司企业文化建设，为支持公司快速发展战略提供软实力支持。
            ",,人力资源部,不限,执行总裁,0人,,,"
100%
							",1
集团人力资源经理,"
                    	20-30万
                    ",厦门,统招本科,8年以上,语言不限,32-40岁,,"
               1、	负责3家子公司的人力资源规划与管理；2、	公司18年实行薪酬绩效改革，所以希望这个岗位的人选在薪酬绩效方面有比较丰富的经验；3、	能力要求：沟通能力强、管理能力强、创造力强、能适应不断变化和成长的企业、抗压能力强；4、	男女不限，形象舒服，亲和力强，有一定的影响力，32-40岁以内佳；5、	稳定性好，公司希望这个人选未来可以往总监方向培养，跟公司一起成长；6、	最好是较先进的科技制造业、电子机械制造业出来的。
",,人力资源部,不限,副总,0人,,,"
99%
							",1
高级人力资源经理,"
                    	30-40万
                    ",北京,本科及以上,5年以上,语言不限,30-40岁,,"
               岗位职责：1、根据公司各部门的招聘需求，拟定招聘方案、组织实施招聘活动并完成招聘目标。2、挖掘、开发和维护招聘渠道，丰富招聘方法，完善内部推荐体系、人才测评体系及面试评价体系。3、优化和完善招聘流程，搭建招聘体系，掌握人员识别与筛选方法，做好各招聘岗位的面试安排及甄选，负责招聘效果的分析和招聘成果的跟踪；4、团队人员招聘能力的培训与提升及绩效管理。5、负责协调跨部门之间的沟通，推动公司整体各岗位招聘进度。6、招聘数据的分析管理。","要求：1、全日制本科以上学历，5年以上招聘工作经验。2、良好的职业道德、沟通与协调能力，积极的工作态度，较强的适应能力与执行力，性格乐观，有一定的抗压能力、敏锐的洞察力与分析判断能力，良好的跟进与问题解决能力。3、踏实稳重，工作责任心强，抗压性佳，有团队协作精神。4、有一定的团队管理经验和人员培养能力。5、有过基层招聘经验，从事过猎头工作或教育行业优先。
",人力资源部,不限,HRD,0人,,,"
100%
							",1
广州人力资源经理,"
                    	20-30万
                    ",广州,本科及以上,2年以上,普通话,26-40岁,,"
               1、三年以上人力资源管理工作经验，有互联网、IT大型企业人力资源管理工作经验优先；2、熟悉人力资源招聘、培训模块的流程、专业知识，熟悉国家、省事劳动人事法规政策； 3、具有较强的语言表达能力、人际交往能力、应变能力、沟通能力及解决问题的能力，有亲和力，较强的责任感与敬业精神； 4、能独立完成富有激情的培训课程，可以独立完成公司培训体系架构的建设、独立开发课件；5、熟悉各种招聘渠道及本地区的招聘特点，带领部门完善招聘、培训工作；6、熟练使用常用办公软件及网络应用。
            ",,人力资源部,不限,人力资源总监,2人,,,"
100%
							",1
人力资源资深经理,"
                    	40-60万
                    ",苏州,本科及以上,3年以上,语言不限,31-40岁,,"
               1、全日制本科及以上学历，专业不限名校优先；2、3年以上人力资源从业经历，有集团总部管控经验者优先 ；3、良好的沟通协调能力，性格沉稳有激情4、形象端正， 具备较强的抗压能力 5、擅长各类公文写作， 且有较强的 EXCEL 、PPT 制作能力 。
",,总部,不限,副总经理,0人,,,"
99%
							",1
人力资源资深经理,"
                    	40-60万
                    ",北京,本科及以上,3年以上,普通话,31-40岁,,"
               1、全日制本科及以上学历，专业不限名校优先；2、3年以上人力资源从业经历，有集团总部管控经验者优先 ；3、良好的沟通协调能力，性格沉稳有激情4、形象端正， 具备较强的抗压能力 5、擅长各类公文写作， 且有较强的 EXCEL 、PPT 制作能力 。
",,总部,人力资源,副总经理,0人,,,"
100%
							",1
人力资源资深经理,"
                    	40-60万
                    ",深圳,本科及以上,3年以上,语言不限,31-40岁,,"
               1、全日制本科及以上学历，专业不限名校优先；2、3年以上人力资源从业经历，有集团总部管控经验者优先 ；3、良好的沟通协调能力，性格沉稳有激情4、形象端正， 具备较强的抗压能力 5、擅长各类公文写作， 且有较强的 EXCEL 、PPT 制作能力 。
",,总部,不限,副总经理,0人,,,"
99%
							",1
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,1
人力资源高级经理,"
                    	40-70万
                    ",北京,硕士及以上,5年以上,普通话,30-38岁,,"
               1、根据公司发展战略，拟定人力资源发展战略；2、根据公司发展战略，不断完善人力资源管理体系；3、制定和执行人力资源年度招聘及培训计划；4、促进公司文化及团队建设，加强公司员工关系管理；5、领导交办的其他工作。
            ",,人力资源部,不限,人力资源总监,0人,,,"
100%
							",1
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,1
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,1
人力资源经理,"面议
                                        

"," 
石家庄-桥西区
",统招本科,3年以上,语言不限,年龄不限,"带薪年假,交通补助,通讯津贴,午餐补助,年度旅游,领导好,五险一金,岗位晋升,管理规范,试用期全额,社保全额基数,公积金全额基数,14薪以上,",职责描述：1、根据公司的发展战略，深入了解业务与人员发展状况，评估并明确组织发展与人才发展对HR的需求，协助业务部门负责人做好、人员管理、内部激励、团队文化等，全方位提供专业性建议方案并推动实施；2、负责公司HR政策、制度、体系、重点项目和各项人才管理活动在业务部门的落地与推动执行，并针对执行结果进行有效反馈和改进； 3. 负责落实推进公司绩效考核政策，提出激励计划和具体实施办法；4. 协助负责人进行团队建设规划、文化建设，营造良好的员工关系，策划与组织员工活动，防范与处理劳资风险；5. 贯彻与推行集团总部的各项人力资源政策，确保人力资源管理工作绩效的同步实现。,"要求：1. 人力资源相关专业本科以上学历，有大公司工作背景者优先；2. 5年以上HR全模块经验，或者3年以上HRBP经验；3. 具备较丰富的企业人才招募和组织体系的建立与推行工作经验；4. 具备优秀的职业素养，能承受一定的工作压力；5. 优秀的沟通协调能力，具备良好的敬业精神和责任心，工作积极主动；6. 操作过校招项目优先考虑。
                            ",人力资源部,不限,HRD,0人,基金/证券/期货/投资,100-499人,53%,
人力资源经理,"10-12万
                                        

"," 
北京-顺义区
",本科及以上,4年以上,语言不限,年龄不限,"年底双薪,带薪年假,通讯津贴,五险一金,定期体检,年终奖金,",职责描述：1、制定人力资源规划，贯彻执行公司劳动人事诸方面的方针、政策、指令、决议；；2、配合人力资源部总监完成部门年度工作目标及计划的制定和实施；3、完善人力资源体系，包含招聘，培训，薪酬，福利，考核，员工关系等体系的全面建设，组织落实各项人力资源管理制度；4、参与集团总部、下属单位短期绩效管理、长期激励机制建立及人力资源管理提升指导与评估；5、根据企业发展的不同阶段，向上级领导建议合理的组织架构，满足公司的经营管理需要；6、建立培训体系，根据公司及业务部门制定培训计划并组织实施；7、定期组织公司企业文化宣导，组织、筹划和开展企业文化活动；8、组织员工的绩效管理、培训等工作，促进员工绩效改进；9、建立并维护与劳动部门的良好对接，配合劳动部门的相关检查，处理相关人事纠纷。,"要求：1、	本科及以上学历，人力资源管理、工商管理等相关专业；2、	5年以上人力资源管理工作经验，至少两年及以上同等职位工作经验；3、	熟悉现代企业管理，熟悉国家及北京市相关劳动人事政策，对各个模块职能有较深的认识；4、	具备出色的分析能力、解决问题的组织协调能力、沟通能力；5、	具有良好的文化素质和职业道德。
",中消云,不限,无,0人,电子技术/半导体/集成电路,500-999人,65%,
人力资源经理,"18-30万
                                        

"," 
广州-番禺区
",本科及以上,5年以上,语言不限,年龄不限,"带薪年假,定期体检,免费班车,五险一金,年底双薪,提供食宿,","职责描述：1、全日制本科以上学历，人力资源管理及相关专业，5年以上人力资源管理工作经验；2、熟悉相关劳动政策法规，熟悉人力资源各模块日常管理，熟悉办公及HR软件操作,优秀的文字及图表处理及分析能力；3、责任心强，良好的团队管理能力及执行能力，沟通协调能力，具备良好的职业道德操守。","要求：
                            ",集团人力资源部,不限,无,0人,旅游/酒店/餐饮服务/生活服务,10000人以上,30%,
