职位,薪金范围,所在地,学历,工作年限,语言,年龄,员工福利,岗位职责,任职要求,所属部门,专业要求,汇报对象,下属人数,行业,公司规模,应聘查看率,是否仅限VIP查看
HR Specialist ,"8-11万
                                        

"," 
上海
",本科及以上,2年以上,语言不限,年龄不限,"绩效奖金,定期体检,弹性工作,年度旅游,节日礼物,五险一金,团队聚餐,带薪年假,岗位晋升,技能培训,",岗位职责 / Job Responsibilities:1、协助上级根据流程执行人力资源管理各项日常事务；2、 按时完成花名册编写，社保及公积金等各项公司福利的转入转出；3、 相关各项规章制度的实施，以及数据收集、整理与分析工作；4、 人力资源相关文件的归档管理；5、 HR各模块的相关工作事宜；,"要求 / Requirements:1、 人力资源相关专业全日制本科以上学历；2、 2年以上人力资源相关工作经验，具有医药行业经验尤佳；3、 熟练操作excel、ppt、word办公软件；4、 良好的职业道德，和良好的沟通能力，责任心，抗压能力和团队合作精神；5、 具用较强的责任心与沟通能力，较强的新知识接受能力，有团队合作精神；6、 具有高度的工作热情和工作积极性；7、 良好的英文口语和写作能力，CET-6以上。
                            ",人事行政部,不限,薪酬主管,0人,制药/生物工程,100-499人,95%,
HR Assistant,"5-7万
                                        

"," 
上海
",统招本科,经验不限,英语 + 普通话,年龄不限,"绩效奖金,带薪年假,通讯津贴,定期体检,弹性工作,年度旅游,节日礼物,技能培训,岗位晋升,五险一金,团队聚餐,","主要职责 1.负责与外服对接员工劳动关系管理和服务工作；2.协助完成员工入职手续办理、试用期评核、合同签订/变更/续签、一般晋升、调动和离职等各项行政事务工作；3.负责人力资源管理软件信息录入、更新、维护等管理工作；4.负责人力资源相关报告；5.负责员工档案管理工作；6.完成上级交办的各项工作。职位要求： 1.本科以上学历，人力资源或行政管理专业优先；2.熟练应用办公软件，良好的沟通能力；3.性格自信，有进取心，良好的责任心和服务意识；
                            ",,人事行政部,不限,人力资源经理,0人,制药/生物工程,100-499人,95%,
HR Assistant,"6-8万
                                        

"," 
上海
",本科及以上,1年以上,英语 + 普通话,20-25岁,"带薪年假,带薪病假,年底双薪,绩效奖金,忠诚服务奖励,五险一金,补充医疗保险,子女福利,内部转岗机制,内部晋升机制,员工培训,","PRIMARY RESPONSIBILITIES:Recruitment & Staffing1. Assist with the whole recruitment process;2. Assist with employment process for new staff;3. Process and maintain manual and electronic documents, files, data, materials and records for employees for the purpose of providing accurate information in compliance with established guidelines;4. Conduct accurate and timely data provision for people data (Turnover, headcount reports and work hours statistics etc.);5. Assist with exit process for leaving staff;6. Maintain and update the organization chart of the company timely.Compensation & Benefit1. Generate monthly attendance report or any other relevant reports for monthly salary calculation;2. Review the leave application of employees and conduct the requests of leave entitlement by system;3. Coordinate to implement the program of Staff Welfare and make the records such as welfare application, medical insurance claim and etc. timely and properly.4. Assist employees with the procedure of any benefit applications per company’s policy.Labor Relation1. Respond to written and verbal inquiries from a variety of internal and external sources (e.g. employee, agency and authority, etc.) regarding staff matters for the purpose of resolving problems and providing information;2. Assist with Contract Renewal, Performance Evaluation, etc.;3. Assist decorating and posting all the necessary information in the bulletin boards.HR system Maintenance1. Write and send the IT Request for system if any updates;2. Maintain the system database on daily basis and periodically audit the database to ensure accuracy Generate scheduled or requested reports to assist management;3. Keep employee records up-to-date by processing employee status changes in a timely manner4. Maintain personnel files in compliance with applicable legal requirements;5. Update the manual of HR system regularly if any changes.Training & Development1. Coordinate and follow up various training programs;2. Assist with the program of new staff orientation;3. Assist with establishing the training file of staff and maintain the database of training records.Policy regulation & HR manual1. Research information required to manage assignments including reviewing relevant policies and current practices for the purpose of ensuring compliance with legislative requirements;2. Draft the updates of HR Manual as request;3. Explanation to staff regarding the issues of Employee Handbook or other HR issues.4. Assist with the day-to-day efficient operation of the HR team.ADDITIONAL RESPONSIBILITIES:Any other responsibilities as and when required by superior that are reasonably within the capabilities of the person and are aimed at achieving the company’s objectives and goals.
",,人力资源部,人力资源管理或行政管理等相关专业优先,HR Supervisor China,0人,交通/物流/运输,100-499人,30%,
高级招聘专员（CLOU-HR010）,"10-13万
                                        

"," 
深圳-南山区
",本科及以上,2年以上,普通话,年龄不限,"上市公司,发展空间大,公司规模大,定期体检,节日礼物,带薪年假,",岗位职责:1、	深刻理解业务部门需求，收集业务部门的招聘需求，负责总部平台及关键岗位的招聘工作；2、	组织和执行招聘计划，包含筛选简历、邀约、面试及入职前引导工作，做好招聘相关数据分析，指导现有招聘工作；3、	协助开发及维护招聘渠道，确保招聘渠道能有效满足用人需求；4、	协助招聘体系的搭建，招聘流程的梳理和优化，招聘人员的培养；5、	协助开展校园招聘的统筹规划和安排实施；6、	协助开展面试官队伍的建设和培训。,"资格:1、	本科及以上学历，人力资源管理、工商管理、心理学、理工科等专业优先；2、	熟悉招聘流程及各种招聘渠道，能准确理解招聘需求，熟悉测评方法，熟悉面试的相应技巧和方法；3、	两年以上招聘工作经验，有猎头或同行业相关招聘经验者优先；4、	形象气质佳、亲和力好，积极主动，沟通能力强、工作效率高、工作抗压性及韧性较强；5、	能熟练操作常用办公软件，如word，exce，ppt。
                            ",公司总部,不限,无,0人,新能源,5000-10000人,30%,
hr manager,"面议
                                        

"," 
上海
",本科及以上,6年以上,语言不限,年龄不限,"五险一金,年底双薪,绩效奖金,交通补助,午餐补助,定期体检,","职责描述：Job Responsibility:·	Directly or indirectly implements recruiting strategies for hourly and salaried employees; interfaces with functional and operational leaders on openings; participates in final selection process of key staff where appropriate; creates recommendations for offers. ·	Develops and administers local training; works with managers to identify best utilization of training offerings; participates in training actions as appropriate.·	Partners with functional and operational leaders to complete performance management and talent management cycle in the Location; participates in Division Talent Review; ensures managers and employees complete development plans.·	Facilitates the annual merit review cycle, observing country guidelines and with Division HRM input.·	Builds an engaging and inclusive company culture through promotion of HPTs·	Coordinates employee empowerment & engagement survey at the location; measures effectiveness and efficiency of action plans from Focus Group.·	Ensures Parker Code of Conduct is observed and followed by all employees. Responsible for managing all employee grievances and disciplinary processes; could liaison with Labor Union (where applicable) or legal department.·	Ensures effective communication of strategy, policy, procedures, and regulations to all employees.·	Fosters effective communication between employees and Location / Functional management; resolves employee relations issues with a systematic approach.·	Conducts HR reporting and analytics, as needed.·	Supports Division HRM in cases of executing necessary organizational changes which affect the Location. Supports the implementation of Division / Country initiatives.","要求：Qualifications:Education & Experience:·	Minimum 6 years of HR working experience in manufacturing environment in MNC, with at least 2 or more years of experience in a supervisory / management role·	Previous work experience includes experience as Human Resource generalist or Human Resource Specialist (Compensation & Benefits, Learning and Development)·	4-year university degree (or international equivalent) required with major in Human Resources, Psychology, Business/Management, or related areas of study; Advanced degree preferred·	Skills & Competencies:·	Possess high level of integrity and positive working attitude·	Possess good written, verbal, and interpersonal communication skills for effective interface with all internal and external contacts·	In-depth knowledge of Chinese regulations and Labor Law·	Good command of English
",FCG,不限,无,0人,机械制造/机电/重工,1000-2000人,30%,
HR Specialist-SCC/人力资源服务中心专员,"8-12万
                                        

"," 
深圳
",本科及以上,1年以上,语言不限,年龄不限,"发展空间大,年底双薪,带薪年假,定期体检,管理规范,股票期权,领导好,扁平管理,岗位晋升,五险一金,上市公司,公司规模大,书本津贴,优秀员工奖,节日礼物,技能培训,","职位描述：The Role:This role is working in Global HR Shared Service team to response the questions from Morningstar global employees, which answer will refer to our HR knowledge database, company policies and guidelines. Besides, this role supports local HR operations and other programs and projects of HR function teams. The role is based in Shenzhen, and reports to HR Shared Services manager.Responsibility:- Provide consistent support and feedback to the employee frequent ask HR questions in APAC, including Morningstar AU, KR, JP, SZ & HK/TW/SGP- Support local HR operation processes, like on-boarding, termination, probation, contract review, leave and vacation management- Maintain Morningstar APAC HR knowledge base- Manage the employee information in HR system, make sure the data is updated and accurate- Assist Company Activities & Employee Clubs职责：-持续回答全球员工的HR问题，支持和改善晨星内部员工和HR沟通的流程及服务。-支持全球HR事物的日常操作。如：入职流程，离职流程，试用期流程，合同管理和假期管理流程等。-维护晨星全球人力资源内部知识数据库-维护及管理晨星全球员工信息系统，保证信息的完整与准确-协助晨星深圳内部的员工活动及员工俱乐部管理","要求：Requirement:- Bachelor’s degree or above- Minimum 2 years of HR experience- Experience in Shared Services operation strongly preferred- HR knowledge and techniques, includes but not limited to staffing, partnership, employee activities- Good analytical, problem solving skills, well-organized and be able to work on multiple tasks- Excellent oral and written English communications- Proactive communication and good interpersonal skills要求：-本科或以上学历-2年或以上工作经验，但不限于HR工作-有跨部门合作经验，或跨国工作经验-有HR经验或人力资源共享中心经验更佳-主动学习能力，有较好的Office365使用经验-有跨部门合作经验-良好的沟通能力及组织能力-英语六级或以上，良好的英文听说读写能力
",人力资源部门,不限,无,0人,基金/证券/期货/投资,500-999人,62%,
HR Payroll Specialist,"7-9万
                                        

"," 
上海
",大专及以上,经验不限,语言不限,年龄不限,"绩效奖金,定期体检,管理规范,技能培训,五险一金,公司规模大,年底双薪,带薪年假,岗位晋升,年度旅游,节日礼物,子女福利,","	Responsibilities:1.	Maintain attendance and other HR-related data in HRIS (Human Resources Information System) to ensure the data accuracy and in-time update.2.	Generate kinds of attendance-related report per request.3.	Independently handle monthly / annual payroll calculation, report and distribution.4.	Be responsible for declaration and daily operation of IIT (Individual Income Tax), commercial and social insurance for local and expatriates.5.	Answer payroll and other HR-related queries from employees in time with good professional images.6.	Personnel files management related to compensation & benefit, such as labor contract, employees’ record and other HR documents.7.	Support on data preparation for annual salary survey, budget and other projects related.8.	Support other HR-related activities.	Qualification:1.	College Degree or above, major in Human Resource, Business Administration, Finance and Accounting, Science or Engineering is preferred.2.	0 – 2 years HR-related experience, payroll / attendance relevant is preferred.3.	Excellent PC skills especially in Excel.4.	Fluent English in both oral and written.5.	Logical thinking, numerical & analytical sense.6.	Team working orientated.7.	Quick-learner.
                            ",,人力资源部,不限,无,0人,交通/物流/运输,1000-2000人,85%,
HR Business Partner,"面议
                                        

"," 
上海
",本科及以上,5年以上,语言不限,年龄不限,"股票期权,绩效奖金,带薪年假,上市公司,年度旅游,定期体检,团队聚餐,五险一金,岗位晋升,技能培训,管理规范,节日礼物,发展空间大,弹性工作,","职责描述：HR Process Improvement- Proactively find out process improvement opportunities and lead/prioritize them to ensure successfully changed;- Understand the operating model and recommend viable and valuable solution to ensure operational effectiveness and efficiencies via. process improvement;- Understand internal customer needs and provide solutions for a better operational service;- Design and implement new or modified local core HR processes to meet long-term employee and HR strategy;- Develop deep knowledge of core hire-to-retire process and be advisor on the lifecycle process including but not limited to on-boarding, probation evaluation, contract renew, exit, etc.- Liaise and collaborate with BP/Global operation team to make the strategy of operation improvement;- Network with global operation team and proactively participate in discussion with global operation team and ensure the effective running of all operation aspects in conjunction/collaboration/partnership with global process and operation team;Risk and control management- Monitor government regulation and HR policy and ensure compliance to and keep up-to-date with local policies and regulatory requirement in areas of tax, immigration, social insurance, etc.- Optimize HR process and procedures to reduce the risk and ensure compliance with company policies and government regulations;- Establish best practice of service operation to effectively control and mitigate risk;Reporting and Vendor Management- Develop master report and maintain on-going reporting;- External vendor managementHR Business Partner- Work with leaders to develop and implement HR plans and solutions to achieve strategic business initiatives and deliver results.- Facilitate the deployment for the organization changes and development- Drive organizational effectiveness & change management by identifying areas for improvement and helping to create, improve or streamline business processes that enable the organization to more effectively achieve goals- Partner with leaders on organizational design, workforce planning, succession planning, and skills assessment;- Review and analyze data to identify trends and recommend solutions to improve performance, retention, and employee experience- Provide management coaching to build leadership capabilities to address and resolve employee issues- Work with line managers and employees to address all types of employee relations issues ensuring a balance in representing all parties’ interests- Partner with global HR team to support business unit initiatives- Partner with managers to retain, develop and motivate people to achieve their fullest potential- Collaboration with the HR Operations Team and HR Center of Excellence (CoE) Team and in accordance with business strategy and Corporate HR strategies, policies and programs as well as local legal / fiscal framework","要求：- Bachelor Degree in a relevant field plus 2-3 years working experience in HR shared service center- Experience developing, improving and implementing processes and providing support for core HR solutions in large-scale, complex environment- Self-motivated, detailed orientated and well organized- Well-honed analytical skills, comfortable working with data and communicating data findings, experience establishing and tracking program metrics- Proven project management, planning and organizational skills- Demonstrated teamwork capabilities; strong relationship management and interpersonal savvinessPreferred Qualifications- Experience working in an entrepreneurial environment with strong multitask skills- Experience in HR benefit team will be a good plus
                            ",EA,不限,无,0人,网络游戏,100-499人,51%,
HR Generalist/Supervisor-Temp,"15-24万
                                        

"," 
上海
",统招本科,4年以上,语言不限,年龄不限,"绩效奖金,五险一金,扁平管理,带薪年假,定期体检,弹性工作,发展空间大,",职责描述：1、了解业务并促进人力资源战略在所在部门的有效规划和实施，为业务部门提供人力资源专业意见和措施并保障人力资源管理制度在部门的贯彻落实；2、协助业务团队进行人才梯队搭建，确保人员及时到位及优化配置；3、为组织的发展提供支持，团队建设，文化宣导和人员融合上，帮助发现和诊断存在的问题并协助解决，4、通过主动与管理层，员工互动，建立有效多样化的渠道，保证组织中信息的通畅，团队活动的策划设计和组织实施，增强团队凝聚5、协助进行内部组织结构优化，提高团队凝聚力，合理有效配置人力资源，并定期对负责部门的人事情况进行分析报告；6、 负责日常薪酬事宜，包括但不限于payroll、社保账单核对、供应商付款等；7、绩效体系建设及持续优化、绩效体系运营过程跟踪与反馈；落实推进公司绩效考核政策，提出激励计划和具体实施办法；,"要求：1.   本科及以上学历，至少3～5年工作经验，擅长C&B;和招聘模块，熟悉HR各模块者优先；2.   较强的语言表达能力、人际交往能力、应变能力、沟通能力及解决问题的能力，有亲和力，较强的责任感与敬业精神，抗压能力强；3.  有激情，为人正直，坚持原则，有事业心；4. 工作投入度高，具备独立处理工作中遇到问题的能力，较强的学习能力和责任心。  
                            ",人力行政部,不限,无,0人,互联网/移动互联网/电子商务,1-49人,30%,
HR专员,"6-10万
                                        

"," 
深圳
",本科及以上,1年以上,语言不限,年龄不限,"绩效奖金,领导好,带薪年假,午餐补助,五险一金,通讯津贴,发展空间大,",岗位职责:1、维护各招聘渠道，发布招聘信息，开拓优质招聘渠道；2、统计梳理招聘需求，负责简历筛选，电话邀约，人员面试，寻求符合公司要求人员；3、负责办理入职、离职手续、劳动合同签订，每月增减员等相关社保及公积金方面的工作，与员工保持良好员工关系；4、计算考勤数据，完成工资表的制作；5、帮助建立员工关系，协助领导做好员工成长及企业文化等相关工作。,"资格:1、人力资源相关专业本科以上学历；懂韩语优先考虑；2、具备一年以上人力资源工作经验，移动互联网、IT行业及游戏行业优先；3、熟悉人力资源工作，擅长技术岗位招聘，熟悉劳动法相关法律、法规；4、有极强的成就导向和责任心，学习能力强，有良好的合作精神、执行力强，工作有计划性，逻辑性和条理性好；5、具有较强的协调能力、人际理解力。
                            ",人力资源部,不限,无,0人,网络游戏,50-99人,38%,
hr,"

我感兴趣 请联系我
","
苏州-相城区
        ",大专,2年经验,,,,"
       岗位职责:
1，负责招聘工作,应聘人员的预约,接待及面试;
2，员工入职手续办理,员工劳动合同的签订,续签与管理;
3，公司内部员工档案的建立与管理,负责员工健康体检;
4，负责考勤及工资绩效的核算;
5，负责公司政府工作事务,与政府以及公司签约培训讲师的沟通以及服务;
6，负责公司分配的其他行政性事务;
7，领导安排的其他工作。
","要求:
1专科以上学历,须医疗公司工作经验;
2,一年以上医疗器械公司人事行政相关工作经验;
3,良好的沟通表达能力;
4,熟练操作办公软件,精通EXCEL,PPT等。
5，年龄23-32岁。
工作地址:
苏州相城经济开发区观塘路1号西交大漕河科技园。

      ",,,,,,,,
人力资源部主任（HR Officer）,"10-12万
                                        

"," 
珠海
",本科及以上,5年以上,语言不限,年龄不限,"绩效奖金,带薪年假,弹性工作,节日礼物,免费班车,上市公司,五险一金,团队聚餐,岗位晋升,技能培训,管理规范,子女福利,发展空间大,公司规模大,优秀员工奖,",职责描述：    事业部人力资源经理安排的指导下，完成公司南区人力资源部的所有工作，如：招聘、培训、薪资、员工关系、社会保险等工作（涉及人数60人左右）。,"要求：   1、人力资源或相关专业本科以上学历；   2、至少有5年以上人力资源工作经验，人力资源6大模块至少熟悉两种及以上，做过薪酬管理优先；   3、积极主动，能够在压力下面独立工作。   4、有较强的交际能力，能够和谐的与同事工作；   5、英语基础好，CET6及以上优先。
",人力资源部,不限,BU HR Manager,0人,电子技术/半导体/集成电路,1000-2000人,100%,
