职位,薪金范围,所在地,学历,工作年限,语言,年龄,员工福利,岗位职责,任职要求,所属部门,专业要求,汇报对象,下属人数,行业,公司规模,应聘查看率,是否仅限VIP查看
猎头顾问,"

我感兴趣 请联系我
","
北京
        ",本科,3年经验,,,,"
       1.负责市场拓展，与客户建立委托招聘协议，深度挖掘客户的需求；
2.建立人才搜寻渠道，建立有效的人际网络，维护长期合作的关系；
3.负责客户委托的招聘项目，与客户充分沟通，分析职位需求，同时为客户提供一定的咨询或引导并为客户企业量身定制招聘计划；
4.在人才库中挖掘潜在候选人，全方位了解候选人的基本信息如薪资、真实想法等，判断候选人与职位的匹配度；
5.推荐合适候选人给顾问，并根据要求制作推荐报告；
6.推进项目进展，提供面试安排、结果反馈、背景调查及后续跟踪服务，做好候选人与企业协调沟通工作；
7协助顾问负责猎头项目的具体推进、执行，造成年度业务指标。


我们的优势：


1、11年专注于金融领域！—积累了丰富的行业信息、客户群体和人脉资源。
2、战略客户多！独家订单多！回款率高！—保证顾问的销售额（轻松拿到年薪30万）
3、稳定的品牌支持和口碑！—客户、候选人高度认可和信赖。
4、完善的晋升机制和培训体系！—助理顾问-猎头顾问-高级顾问-区域经理（合伙人）-大区经理（合伙人）！
5、充满活力的精英团队！—气氛活跃，乐于分享，良性的竞争，成熟的团队！
6、老板超nice!

      ",,,,,,,,,
猎头顾问,"

我感兴趣 请联系我
","
广州-天河区
        ",本科,2年经验,,,,"
       招聘岗位
猎头顾问（智能制造方向/IT互联网方向/金融方向/房地产方向/物流方向/广告行业）

工作内容：
1.执行寻访计划，筛选和面试寻访人，初步甄别候选人与目标职位的匹配度；
2.沟通候选人的职位意向，职业生涯发展规划；
3.撰写候选人的人才测评和推荐书，向顾问推荐候选人；
4.协调客户公司与候选人的面试安排，跟进面试的进展和及时反馈面试过程的问题；
5.提供候选人背景调查，辅助候选人的离职；
6.对客户与候选人的后续跟踪与反馈。

岗位要求：
1.统招本科或者硕士学历，专业不限，性别不限；
2.能快速适应环境，稳定性好，有明确的职业生涯规划；
3.自我学习能力优秀，善于主动学习；
4.良好的沟通能力，掌握一定的沟通技巧，逻辑表达能力优秀；
5.具有一定的抗压性；
6.结构导向，有内驱力；
7.工作积极向上，富有激情；
8.有团队意识，注重团队合作。

职位晋升：
顾问——资深顾问——团队经理——总监/合伙人
     
职位竞争力：
1.高于行业水平的无责任底薪+丰厚提成；
2.专业系统的内部培训+无天花板的晋升；
      ",,,,,,,,,
猎头顾问,"

我感兴趣 请联系我
","
上海-闵行区
        ",本科,2年经验,,,,"
       岗位职责：
- 独立进行结构化面试（电话面试/面对面的面试）以电话面试为主；
- 及时在数据库中更新候选人的职业经历、技能、优势和不足等信息；
- 为客户在行业内搜寻符合资格的候选人
- 熟练运用不同的人才搜寻途径，包括陌生电话寻访，数据库；
- 管理候选人的期望值和整个招聘流程；
- 撰写候选人背景报告呈交客户；
- 为候选人做好充分的面试准备，以提高候选人与客户面试的成功率；
- 必要时与客户进行有效的职位沟通；
- 与候选人建立良好的关系。
","资格：
1、21-25岁，全日制本科及以上学历，有销售或人力资源招聘相关经验优先
2、对人才有准确把握，熟悉人选的甄选技巧。对主要岗位的工作职责和",,,,,,,,
猎头顾问,"

我感兴趣 请联系我
","
上海-闵行区
        ",本科,经验不限,,,,"
       优秀的应届生是我们热忱接纳的群体
1,薪资:极富竞争力的薪资奖金体系(具体可详谈);无责底薪+项目提成,季度晋升机制(涨薪哦);
2,福利:社保+公积金+带薪年假+员工旅游+员工活动+节日福利+法定节假日
3,以合伙制体系的发展模式,轻松和谐的工作氛围,透明的晋升空间;
5,丰富的达人活动,愉悦的国内外旅游,还有更多的惊喜的福利待遇等待着你哦.
岗位职责:
- 为客户在行业内搜寻符合资格的候选人
- 熟练运用不同的人才搜寻途径，包括陌生电话寻访，数据库；
- 独立进行结构化面试（电话面试/面对面的面试）以电话面试为主；
- 及时在数据库中更新候选人的职业经历、技能、优势和不足等信息；
- 管理候选人的期望值和整个招聘流程；
- 撰写候选人背景报告呈交客户；
- 为候选人做好充分的面试准备，以提高候选人与客户面试的成功率；
- 必要时与客户进行有效的职位沟通；
- 与候选人建立良好的关系。


      ",,,,,,,,,
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,
猎头顾问,"

我感兴趣 请联系我
","
武汉
        ",本科,3年经验,,,,"
       1、快速理解客户公司委托的职位，制定找寻人才的方向；
2、快速了解市场总体行情，包括薪资水平，人员意向性等，并不断修正搜寻方向以找到合适的人选；
3、通过各种途径搜寻人才，各大招聘网站, 公司数据库, Cold Call, 关系圈等；
4、电话沟通较合适的人选，了解其目前的基本信息并初步判断其合适度，尽可能了解其目前薪资福利，真实想法，以便今后的推荐工作；
5、总结明晰目标公司组织架构，为今后长期搜寻工作做好基础；
6、推荐候选人到客户公司，依据相应要求制作推荐报告供客户参考；
7、跟踪候选人的初试, 复试情况，并在候选人与企业之间做好协调沟通工作；
8、对客户决定录用的候选人，就薪资福利, 报到时间等信息与客户HR做相应沟通协调；
9、根据客户需要，提供候选人背景调查服务；
10、与已经入职的候选人保持联系，与潜在候选人保持良好沟通。
","要求：
1、全日制大专及以上学历；
2、个性成熟、有亲和力，性格开朗、乐观积极；
3、具有良好的沟通协调能力与协调能力；
4、至少具有1年及以上猎头相关工作经验；
      ",,,,,,,,
猎头顾问助理,"

我感兴趣 请联系我
","
郑州
        ",大专,1年经验,,,,"
       岗位职责：
1. 配合leader完成客户开发及客户拜访；
2. 分析行业发展和客户职位需求，制定人才寻访方案；
3. 实施寻访，对候选人做出初步评价和筛选；
4. 了解候选人的发展需求，提供专业的职业规划辅导；
5. 向客户推荐候选人，提交评价意见和推荐报告；
6. 协调客户公司与候选人的面试，跟进面试的进程和反馈。

","要求：
1. 统招本科以上学历，有一年以上工作经验，有猎头经验或电话销售工作经验优先；
2. 适应力强，稳定性好，愿意在中高级人才推荐行业长期发展；
3. 沟通技巧和客户服务技巧良好；
4. 具有强烈实现个人成就的意识；
5. 能积极应对挫折和压力，乐于接受挑战；
6. 优秀的学习能力，及逻辑辨析能力；
7. 自我驱动，结果导向；
8. 良好的团队意识，注重团队合作；
9.最好有人力资源管理师证书。
      ",,,,,,,,
猎头顾问助理,"

我感兴趣 请联系我
","
北京-朝阳区
        ",大专,1年经验,,,,"
       职责描述：
1、能在工作中积极主动的学习面试技巧及客户沟通技巧，通过各种渠道根据客户需求收集与候选人或该职位相关信息；
2、了解客户需求信息，根据职位要求进行高端人才的寻访、推荐；
3、通过分析确定寻访方向和渠道，完成候选人搜寻、筛选和面试工作，并跟进结果反馈、背景调查及后续跟踪服务，保持客户满意度；
4、了解市场动态、挖掘业务信息、协助市场拓展；
5、按照公司要求完成各项kpI指标；
6、完成公司上级交办的其他工作任务。


","要求：
1、统招专科及以上学历；
2、年龄：22至28岁左右，男女不限，有互联网猎头经验者优先；
3、善于学习，沟通及抗压能力强，且为目标导向性人才；
4、薪酬待遇（底薪（open谈）+高比例业绩提成）。
我们可以给你这些：
1、工作时间：早9:00-晚6:00，周末双休， 其他节假日优于国家法定执行；
2、福利：五险一金，绩效奖金，节日福利，带薪年假，激励奖金等；
3、公司完善、统一的系统培训；
4、睿智的老板、友善的同事、舞台足够大，只要你够“亮”。

      ",,,,,,,,
猎头顾问,"

我感兴趣 请联系我
","
重庆-沙坪坝
        ",本科,3年经验,,,,"
       
岗位职责:
根据顾问对客户所在行业，客户公司和目标职位的分析，制定目标寻访公司并制定目标候选人寻访方案；实施寻访计划，对候选人做出初步评价和筛选；沟通候选人的职业发展，并提供专业的职业发展规划辅导；提交候选人评价和推荐报告；沟通协调候选人与客户公司之间的面试安排，跟进面试的进展和反馈；候选人的背景调查，薪酬谈判，offer的跟进。
","资格:
统招全日制本科及以上学历；
英语良好，CET4；
3年以上猎头或销售工作经验
良好的沟通协调能力和学习能力，责任心强；工作积极主动，有追求成功的热情，具备销售意识，有意向在人力资源咨询领域长期发展。
      ",,,,,,,,
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,
建筑猎头顾问,"

我感兴趣 请联系我
","
成都
        ",中专,1年经验,,,,"
       

岗位职责：
1、公司提供大量准确资源，无需自己去挖掘；
2、通过电话与客户进行有效沟通了解客户需求, 寻找销售机会并完成销售业绩；
3、维护老客户的业务，挖掘客户的最大潜力。
","资格：
1、18-30岁，口齿清晰，普通话流利，语音富有感染力；
2、对销售工作有较高的热情，有电话销售相关工作经验者优先考虑，
3、具备较强的学习能力和优秀的沟通能力；
4、性格坚韧，思维敏捷，具备良好的应变能力和承压能力；
5、有敏锐的市场洞察力，有强烈的事业心、责任心和积极的工作态度，有相关电话销售工作经验者优先。
工作时间：周末双休 朝九晚六



      ",,,,,,,,
地产行业猎头顾问,"

我感兴趣 请联系我
","
广州-天河区
        ",本科,3年经验,,,,"
       猎头顾问
工作地点:广州市,深圳市上海市北京市
职位描述:
1.人力资源市场的调研、分析,为客户提供有价值的建议;
2.接受客户的委托,筛选、评价、推荐合适的中高级管理攲术人才;
3.服务中高级管理和技术人才,为其提供职业发展规划和适合的发展机会;
4·能够独立进行职位分析和面试候选人,并和候选人及客户进行富有成效的沟
通
5,富有使命感和责任感,良好的团队合作意识,以结果为导向。
职位要求:
1.大学本科以上学历,二年以上エ作经验,市场开拓、销售或人力资源管理工作经验;
2 具备良好沟通表达能力；
3具有较强的分析能力和判断能力,能在很短的时间内掌握所面对行业里的企业
动态和人才分布;
4·掌握电话沟通和陌生拜访,良好的语言沟通能力、人际交往能力,有亲和力;
5性格开朗,责任心强,对新生事物有好奇心,优秀的学习能力;
6.有敬业精神,身体健康,能承受长期的高强度脑力劳动,能承受1作压力

      ",,,,,,,,,
金融猎头顾问,"

我感兴趣 请联系我
","
北京-朝阳区
        ",大专,2年经验,,,,"
       1.与客户进行洽谈和沟通，深度了解客户需求与客户达成合作，开拓人力资源业务;
2.进行市场调研，对人力资源项目进行需求分析，并根据实际需求和目的进行方案设计;
3.领导人力资源咨询项目团队完成项目咨询工作;
4.与客户保持有效的沟通，如与客户项目出现异议，提出解决方案，并与客户进行沟通商讨达成一致;
5.编写客户的咨询报告;
6.对公司项目成员进行专业的指导和培训，提高成员的专业水平。
      ",,,,,,,,,
猎头助理顾问,"

我感兴趣 请联系我
","
上海
        ",本科,1年经验,,,,"
       根据Leader安排的客户进行对接以及维护；
根据客户招聘的岗位进行候选人搜索和沟通，并推荐；
负责行业市场信息的搜集以及人才数据的建立；
独立完成客户开发；
完成月度业绩指标。

要求；
男女不限
大专以上学历；
1左右及以上猎头工作经验，如从事服饰行业猎头经验优先考虑；
沟通、学习、抗压、自我驱动能力强；
热爱猎头，愿意长期发展。
      ",,,,,,,,,
金融猎头,"

我感兴趣 请联系我
","
武汉
        ",本科,3年经验,,,,"
       
1.负责猎头业务开拓及招聘项目执行工作:通过名种渠道寻访合适的候选人:
2.负责全面把控整个招聘流程完成客户委托的职位;
3.与客户方进行工作对接,进行职位需求分析,必要时为客户提供一定的咨询和引导
4.对候远人进行初步面试,将合适的人远推荐给客户面试,及时解决面试过程中遇到的问题:
5.协助克成相关款项的回收,并且参占客户维护;
6.协助客户及人选进行薪酬谈判根据客户要求进行候选人的古三调查
7.候选人入职前中后期的跟踪,并为候远人摄供相应的职业发展建议


      ",,,,,,,,,
地产猎头顾问,"

我感兴趣 请联系我
","
武汉
        ",大专,1年经验,,,,"
       
1.负责猎头业务开拓及招聘项目执行工作,通过各种东道宁访合适的候选人:
2.负责全面把校警个招聘流程,完成客户委托的职位;
3,与客户方进行工作对接,进行职位嘉求分析,必要时为客户提供定的咨询和引导:
4.对候选人进行初步回试,将合适的人选推荐给客户面试,及时解决面试过程中理到的问题:
5.协助元成相关款项的回收,并且参与客户维护;
6.协助客户及人选进行薪酬谈判,根据客户要求进行候选人的背景调查
7.候选人入职前中后期的跟踪并力候远人提供相应的职业发展理议。

      ",,,,,,,,,
猎头顾问,"

我感兴趣 请联系我
","
武汉
        ",本科,3年经验,,,,"
       1.负责猎头业务开拓及招聘项目执行工作,通过各种渠道寻访合适的候选人:
2.负责全面把控整个招聘流程,完成客户委托的职位:
3.与客户方进行工作对接,进行职位需求分析,必要时为客户提供一定的咨询和引导;
4.对候选人进行初步面试,将合适的人选推荐给客户面试,及时解决面试过程中遇到的问题:
5.协助完成相关款项的回收,并且参与客户维护:
6.协助客户及人选进行薪酬谈判,根据客户要求进行候选人的背景调查
7.候选人入职前中后期的跟踪,并为候选人提供相应的职业发展建议.

      ",,,,,,,,,
猎头leader,"

我感兴趣 请联系我
","
成都
        ",本科,3年经验,,,,"
       1、带领团队全面负责BD客户开发,地产猎头项目的具体推进,执行,完成年度
2、充分分析客户需求,制定寻访方案,寻拨到合适的候选人,并出具人才推荐报
3、与客户保持积极,有效的沟通,促使项目顺利进行
4、及时有效进行客户关怀,维护好客户关系,深入挖掘客户需求
5、研究行业发展动向,收集行业内人才信息,积累人才资源库;
6、招聘.培训和管理下属顾问,为客户提供高效的猎头招聘服务;
7、团队日常管理.
要求:
1、本科及以上学历,五年以上工作经验,两年以上猎头工作经验;
2、热悉培训地产,金融.生物医药.教育,互联网,快销的任一种;
3、优秀的协调能力和出色的沟通.说服,引导能力;
4、良好的团队协作能力,富有高度的责任心与职业操守;
5、铰强的学习能力.优秀的执行力,较强的自我管理能力;
6、office 办公软件操作熟练;
7、个性成熟,有亲和力,性格开朗,乐观积极+

      ",,,,,,,,,
猎头顾问,"

我感兴趣 请联系我
","
广州-白云区
        ",本科,3年经验,,,,"
       职责：
- 通过各种渠道访寻候选人完成初步的访寻工作；
- 面试和甄选候选人，根据客户的需求和特点，推荐合适的候选人；
- 协调安排客户面试，及时解决面试过程中遇到的问题；
- 协调薪酬谈判和录用通知书的签署，并根据客户要求进行候选人背景调查；
- 候选人入职前、中、后的跟踪服务，并为候选人提供相应的职业发展建议；
- 与客户和候选人保持良好关系，了解市场动态，寻找和挖掘业务信息，进行业务拓展。

要求：
1、统招大专及以上学历；
2、优秀的人际沟通能力和学习能力，成熟稳重，能够承受较大的工作压力；
4、善于学习，结果导向，极强的内驱力。
      ",,,,,,,,,
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,
猎头顾问,"

我感兴趣 请联系我
","
深圳-南山区
        ",本科,3年经验,,,,"
       1.为企业提供人力资源服务、猎头服务。
2.主动开发市场，寻找猎头需求。
3.从公司人力资源数据库中筛选猎头对象.
4.游说猎头对象加盟新的服务机构。
5.要求本科学历以上，有PMP证书者优先。
      ",,,,,,,,,
猎头顾问,"

我感兴趣 请联系我
","
方家山
        ",本科,3年经验,,,,"
       工作职责:
1.与客户和候选人保持良好关系,了解熟悉人才市场动态,寻找和挖掘业务信息,进行业务拓展;
2.与客户充分沟通,分析职位需求,同时客户提供一定的咨询或引导;
3.通过各种渠道根据客户需求访寻候选人或者指导助理完成访寻工作;
4.面试和甄选候选人,根据客户的需求和特点,推荐合适的候选人;
5.协调安排客户面试,及时解决面试过程中遇到的问题;
6.协调薪酬设判和录用通知书的签署,并根据客户要求进行候选人的详细背景
调查;
7.候选人入职前中后期的跟踪,并为候选人提供相应的职业发展建议。
职位要求:
1.1-3年招聘或销售工作经验,优秀应届生亦可
2.较强的责任感,善于分析客户及人才的心理,对主要岗位的工作职责和","
要求有全面深刻理解;
3.较强的表达能力,判断能力;
4.工作效率高,执行力强,沟通协调力强;
5.能承受工作压力,善于学习,相关人脉资源丰富。
工作经验:1-5年
年龄:从20安到30
学历要求:大专

      ",,,,,,,,
猎头顾问,"

我感兴趣 请联系我
","
北京
        ",大专,3年经验,,,,"
       工作要求：
1，负责通过各种渠道开发客户
2，根据客户要求，进行寻访，为客户推荐合适候选人
3，协助部门完成日常数据的整理工作
4，帮助R或AC分析职位，进行电话面试辅导，列出target公司
","资格：
1，至少大专以上学历，3年以上医疗器械医药猎头或者医疗器械医药行业招聘工作经验（医疗器械医药行业）、
2，性格开朗，愿意与人交朋友，有良好的沟通、协调和语言表达能力
3，英语看写熟练
4，有极强的学习能力、进取心和耐心
5，具有很好的抗压能力和服务意识
      ",,,,,,,,
猎头顾问助理,"

我感兴趣 请联系我
","
北京
        ",大专,2年经验,,,,"
       工作要求：
1，根据职位要求，按顾问指导进行人才寻访，为顾问推荐合适的候选人
2，协助顾问完成日常的数据整理工作
","要求：
1、大专以上学历；
2、18年应届生或者有1年人力资源实习经历，或半年左右招聘岗位工作经验；
3、机灵，有较强学工作主动性。
      ",,,,,,,,
大客户销售经理（车厂前装或半前装）,"

我感兴趣 请联系我
","
深圳-南山区
        ",本科,3年经验,,,,"
       岗位职责：
1、负责车厂前装或者半前装客户开发以及维护；
2、根据部门的销售目标，制定可执行可考核的行动计划；
3、按照计划分步骤完成任务目标，并努力达成最终结果；
4、及时从市场上搜集并整理符合公司产品方向的市场信息以及反馈；
5、根据客户的需求，制定个性化的营销方案，与客户谈判并达成合作；
6、在维护现有客户的基础上，积极主动地开发新客户，不断积累客户资源；
7、重视客户需求及反馈，及时快速地解决客户提出的问题；
8、与公司各部门的沟通、协调工作。
 
","要求：
1、本科及以上学历，有车厂前装或者半前装销售必要的经验和人脉资源；
2、3年以上车机或者其他汽车电子大客户销售经验；
3、有极强销售拓展能力，勇于挑战，能够承受一定的压力；
      ",,,,,,,,
大客户总监（数据中心基础设施）,"

我感兴趣 请联系我
","
上海-静安区
        ",本科,5年经验,,,,"
       岗位职责：
1、搭建大客户团队；
2、开发央企、国企、总包方、集成商、大企业，立足华东，面向全国；
3、有丰富的数据中心机房（UPS、精密空调、动环、配电等）的销售经验；
4、有成熟的客户资源，
      ",,,,,,,,,
人才服务专员（就业服务）,"7-10万
                                        

"," 
杭州
",学历不限,经验不限,普通话,年龄不限,"领导好,技能培训,岗位晋升,发展空间大 ,","岗位职责：1. 积极开拓和维护企业客户关系（包括老客户的回访、新客户的拜访），充分挖掘企业招聘需求，同时向上级和学术部反馈；2. 协助学员规划职业生涯，指导学员简历写作及面试，及时与学员、用人单位沟通面试情况；3. 配合市场营销部，及时收集、发布或更新学员就业信息；4. 保持与学员的长期沟通，掌握学员就业动态，提升学员对51Testing品牌的归属感和认同感。5. 配合上级和兄弟部门完成相关工作，并积极反馈所知的一切信息；6. 公司领导下达的其他任务。岗位要求：1. 熟悉企业招聘流程；2. 能够指导学员职业发展；3. 专科及以上学历。教育学、心理学、人力资源等相关专业者优先；4. 2年以上工作经验，具备招聘、猎头相关经历者优先。分享微信邮件
                            ",,,不限,无,0人,计算机软件,500-999人,95%,
大客户经理（数据中心基础设施）,"

我感兴趣 请联系我
","
北京-海淀区
        ",本科,3年经验,,,,"
       岗位职责：
1、搭建大客户团队；
2、开发央企、国企、总包方、集成商、大企业，立足华北，面向全国；
3、有丰富的数据中心机房（UPS、精密空调、动环、配电等）的销售经验；
4、有成熟的客户资源
      ",,,,,,,,,
招聘主管,"7-10万
                                        

"," 
成都-崇州市
",大专及以上,经验不限,普通话,年龄不限,"领导好,技能培训,岗位晋升,发展空间大 ,",1. 修订实施招募管理规范、流程。2. 负责收集整理人力资源需求计划，并拓展各种招聘渠道。3. 制订并实施招聘方案（含招募渠道的选择、招聘信息的发布、初选、测评与面试管理）。4. 合格后选人的录用和招聘资料交接（工资待遇确定、将录用人员资料转交下一环节）。5. 新员工试用期的跟踪与管理。6. 公司内外部人才库的建立与完善。7. 招聘模块相关数据的统计与分析。8. 其他：完成上级交办的其他工作。,"资格：1、大专或以上学历；2、管理类及相关专业，制造业5年以上招聘或猎头经验3、熟悉人事6大模块及法律法规；4、抗压能力强，独立处事能力强；团队合作、沟通协调能力、组织规划能力强分享微信邮件
                            ",,不限,无,0人,电子技术/半导体/集成电路,1000-2000人,65%,
