职位,薪金范围,所在地,学历,工作年限,语言,年龄,员工福利,岗位职责,任职要求,所属部门,专业要求,汇报对象,下属人数,行业,公司规模,应聘查看率,是否仅限VIP查看
HRVP,"
                    	80-100万
                    ",北京,统招本科,8年以上,语言不限,30-50岁,,"
               企业要求：HRVP（HRSVP）1、人力资源管理专业或者系统学习过人力资源管理。2、人力资源管理从业15年以上，具有丰富团队管理经验。3、男女不限，行业不限，本科及以上学历，年龄40-50。4、低调务实 吃苦耐劳 积极上进 态度端正 形象较好。5、亲和力好 情商高 学习力好 具有较高沟通协调能力。6、要求有世界500强或者中国100强企业人力一把手从业经验。7、做集团人力总经理不能低于3年，必须是人力一把手。8、具有战略高度和系统化人力资源管理思维。9、认可汉能，态度第一，形象第二，能力第三！
            ",,行政人事部,不限,主席,0人,,,"
<15%
							",1
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,1
HRVP,"
                    	60-90万
                    ",广东省,本科及以上,8年以上,语言不限,35-45岁,,"
               职位描述：1、组织制定人力资源整体战略规划和组织规划；2、制定并完善薪酬考核、招聘、培训及人事管理等制度；3、拟订人力资源成本预算，监督控制预算的执行；4、指挥、协调和控制公司各部门人力资源薪酬、招聘、培训以及绩效、员工关系等方面的工作；5、负责工作分析、岗位说明书与定岗定编工作，对公司组织结构设计提出改进方案；6、招聘优秀管理团队，实施人才发展储备计划，为公司主管以上的管理者进行职业生涯规划设计；7、管理本部门日常工作，负责本部门员工工作考核、激励及部门资金的预算和控制等；8、组织和推动企业文化建设；职位要求：1、具备较强的战略思维和战略落地能力和人力资源集团管理的掌控能力；2、8年以上人力资源管理经验，其中五年以上团队管理经验；3、了解现代企业人力资源管理模式和实践经验积累，对人力资源管理各个职能模块均有较深入的认识，熟悉国家相关的政策、法律法；4、很强的计划性和实施执行的能力；有亲和力，很强的激励、沟通、协调、团队领导能力，责任心、事业心；5、情商高，形象气质较好；6、具备良好的人际交往能力、组织协调能力、沟通能力以及解决复杂问题的能力。
            ",,人力资源部,不限,董事长,0人,,,"
100%
							",1
HRVP,"
                    	110-160万
                    ",杭州,统招本科,15年以上,语言不限,36-46岁,,"
               工作职责：1. 根据公司中长期业务战略规划，全面统筹规划公司的人力资源战略，推动企业文化建设与传播等人力资源实务管理工作；2. 建立并完善公司人力资源管理体系，研究、设计适合公司发展战略的人力资源管理平台制定和完善人力资源管理制度；3. 向公司高层提供有关人力资源战略、组织建设等方面的建议，并致力于提高公司的综合管理水平；4. 根据企业不同发展时期对组织设计的要求，全面统筹规划公司合理有效的组织治理结构，工作流程，授权体系等，为公司决策层提供各项组织建设管理建设；5. 负责公司整体人才梯队搭建工作，全面负责公司各级公文的管理工作；6. 结合人力资源专业领域的前沿理论并结合业务现状，强化人力资源管理的专业性和规范性，提升公司核心竞争力，及时处理公司管理过程中的重大人力资源问题；7. 向公司决策层提供人力资源、组织机构等方面的建议并致力于提高公司综合管理水平，控制人力资源成本。","要求:1、 人力资源管理，工商管理，心理学等相关专业本科以上学历，年龄40岁左右；2、 10年以上人力资源方向从业工作经验，其中5年以上企业人力资源总负责人经历；3、 具备先进的人力资源管理理念和实施办法，精通组织结构搭建，薪酬考核体系建设，人才培养体系建设，对企业文化的理解有一定的深度；4、 精通国家劳动法规，杭州地方法规，并能制定符合公司要求的各项劳动政策方针；5、 长期定居在杭州优先考虑。
",人力资源部,不限,集团总监,20人,,,"
100%
							",1
HRVP,"
                    	110-150万
                    ",杭州,统招本科,15年以上,语言不限,37-45岁,,"
               工作职责：1. 根据公司中长期业务战略规划，全面统筹规划公司的人力资源战略，推动企业文化建设与传播等人力资源实务管理工作；2. 建立并完善公司人力资源管理体系，研究、设计适合公司发展战略的人力资源管理平台制定和完善人力资源管理制度；3. 向公司高层提供有关人力资源战略、组织建设等方面的建议，并致力于提高公司的综合管理水平；4. 根据企业不同发展时期对组织设计的要求，全面统筹规划公司合理有效的组织治理结构，工作流程，授权体系等，为公司决策层提供各项组织建设管理建设；5. 负责公司整体人才梯队搭建工作，全面负责公司各级公文的管理工作；6. 结合人力资源专业领域的前沿理论并结合业务现状，强化人力资源管理的专业性和规范性，提升公司核心竞争力，及时处理公司管理过程中的重大人力资源问题；7. 向公司决策层提供人力资源、组织机构等方面的建议并致力于提高公司综合管理水平，控制人力资源成本。","要求:1、 人力资源管理，工商管理，心理学等相关专业本科以上学历，年龄40岁左右；2、 10年以上人力资源方向从业工作经验，其中5年以上企业人力资源总负责人经历；3、 具备先进的人力资源管理理念和实施办法，精通组织结构搭建，薪酬考核体系建设，人才培养体系建设，对企业文化的理解有一定的深度；4、 精通国家劳动法规，杭州地方法规，并能制定符合公司要求的各项劳动政策方针；5、 长期定居在杭州优先考虑。
",人力资源部,不限,集团总裁,22人,,,"
100%
							",1
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,1
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,1
集团执委会委员/HRVP（人力副总裁）,"
                    	940-999万
                    ",河北省,统招本科,10年以上,语言不限,30-45岁,,"
               必须全日制本科及以上，必须45岁以内，必须有万人集团推动经验。变革期，希望更深入的管理思想和举措解决人、组织、机制、文化的问题。 1、思维开阔，能够跳出业务思考管理；2、擅长多元化团队建设与发展；3、有很强的变革推动能力和领导力，善于在复杂因素下抓核心、抓关键；4、有很强的沟通艺术和技能，能够营造良好的组织氛围；5、有很强的思维能力，可以将公司要求高效准确的转化成执行举措，并有效有力的推动；6、有丰富的人际资源，能够为公司高端人才的引入开渠道、搭桥梁。
",,人力资源部,不限,总裁,100人,,,"
100%
							",1
人力资源总经理（HRVP）,"
                    	40-70万
                    ",广州,本科及以上,10年以上,普通话,30-45岁,,"
               一、岗位职责：1、根据公司发展战略，组织制定人力资源战略规划； 2、根据公司战略规划，推动组织变革、跨文化的组织融合与组织氛围构建; 3、向CEO提供人力资源、组织运行等方面的建议，提高公司综合管理水平， 拟订人力资源成本预算，监督控制预算的执行；4、推行集团公司在子公司、分公司、各项目公司的企业文化和价值观，充分发挥员工的积极性和创造力；5、建立并完善人力资源管理体系，研究、设计人力资源管理模式（包含招聘、培训、绩效、薪酬及员工发展等体系的全面建设）；6、定期组织收集招聘、考核、薪酬等方面的信息，为公司重大人力资源、组织结构决策提供信息支持，并致力于提高人力资源的综合管理水平； 7、人才梯队管理和关键人才绩效管控，做好组织内部的员工能力发展并提高其绩效；及时处理公司管理过程中的重大人力资源问题； 8、落实公司各项人力资源工作，负责各项人力资源管理工作的推进和维护。 二、","要求： 1、人力资源、工商管理统招本科或以上学历；2、有连锁经营或集团公司10年以上人力资源工作经验，其中3年以上的高管经验，有团队5人以上的管理经验，经历企业高速发展、变革期发展者优先考虑；3、对人力资源各模块理论、管理方法有较为深入的学习与实践操作经验，能够结合公司实际将人力资源管理理论应用到实际操作中，并对各项工作有着清晰的思路； 4、熟悉HR三支柱模型，商业模式、人力资源工具的应用；5、能切实有效的对体系HR团队进行定位与发展，起到业务战略合作伙伴的作用； 6、良好的团队领导力，具备卓越的口头和书面表达能力、沟通协调、发展下属能力。7、具备良好的敬业精神，很好的上进心、事业心、学习能力和合作精神，开阔的视野，关注结果及过程，很好的问题解决能力。 
            ",人力行政中心,人力资源管理、工商企业管理,总裁,30人,,,"
98%
							",1
HRVP,"
                    	140-200万
                    ",广东省,学历不限,10年以上,英语,38-55岁,,"
               千亿市值企业的HRVP；董事长幕僚；全球化战略扩张过程中的统筹；雇主品牌形象建设；其他
            ",,人力资源,不限,董事长,0人,,,"
91%
							",1
海游度假集团HRVP,"
                    	100-150万
                    ",上海,大专及以上,12年以上,普通话,35-50岁,,"
               职务职责	全面负责海游度假集团公司人力资源工作；	统筹规划人力资源开发及战略管理，拟定人力资源规划方案，并监督各计划的实施；	协助总裁完成游度假集团业务规划、人力资源体系搭建及人才队伍建立；	负责公司的整体企业文化建设；	超强的沟通能力，能够承受大的工作压力和快节奏工作；	熟悉文化旅游地产行业人力资源特点，有着丰富的行业工作经验；","要求	核心能力要求：	自我驱动，积极乐观，有良好的人格成熟度	有人际敏感度，善于在复杂人际情境下开展人力资源工作；	善于在高压力环境下开展工作；	善于捕捉机会，有在变化中寻求突破的能力	优秀的跨团队、跨职能/业务的资源驱动、人际沟通和团队协调能力	有地产行业背景，了解旅游地产	具有较强的组织协调能力 
",高管部门,不限,海游地产总裁,4人,,,"
98%
							",1
HRVP,"
                    	200-260万
                    ",上海,统招本科,10年以上,语言不限,30-60岁,,"
               	工作职责：	负责集团整体人力资源体系的战略发展、原则的构建；	负责企业文化的建设、宣传、贯彻；	负责集团中高级人才储备、培训、绩效管理及人才梯队建设；	负责集团行政管理规划，协调各部门关系，做好内部管理工作；	负责与外部法律机构的合作事项，与司法机关及政府有关部门保持沟通；	主持上市事务，负责券商、律所及会计事务所的对接工作；	指导集团下属公司，结合各自产业及地区的特点，深入开展人力资源六大模块工作；	参与集团的运营管理，提供重大决策意见；
            ",,人力资源,不限,VP,0人,,,"
100%
							",1
HRVP,"
                    	100-150万
                    ",深圳,本科及以上,10年以上,语言不限,35-45岁,,"
               工作职责：1、根据公司总体发展战略，全面统筹规划公司人力资源发展战略，合理调配公司的人力资源；2、协助公司建立，宣导和强化企业文化和愿景；3、构建和完善公司发展需要的人力资源管理体系（招聘规划、培训规划、绩效管理、薪酬福利、员工激励等）；4、组织制定人力资源工作发展规划、计划与预算方案，有效并合理控制人力预算，并监督各项计划的实施；5、负责优化组织运行效率（包括组织结构及授权管理）、优化核心团队能力和引进适合的高级管理人才并提高公司的综合管理水平。","要求：1、人力资源管理或相关专业统招本科以上学历； 2、知名互联网公司工作经验；10年以上行政人事管理经验，3年以上HRVP工作经验；3、了解现代企业人力资源管理模式和实践经验积累，对人力资源管理各个职能模块均有较深入的认识，熟悉国家相关的政策、法律法规；4、具备较强的计划性和实施执行的能力；较强的激励、沟通、协调、团队领导能力，责任心、事业心；5、具备良好的人际交往能力、组织协调能力、沟通能力以及解决复杂问题的能力。
            ",人事部,不限,总裁,0人,,,"
100%
							",1
HRVP/首席人才官CHO,"
                    	50-80万
                    ",上海,统招本科,10年以上,语言不限,30-50岁,,"
               1、根据公司战略全面统筹规划人力资源开发及战略管理，拟定人力资源规划方案，并监督各项计划的实施；2、持续构建完善人力资源管理体系，研究、设计人力资源管理模式（包含招聘、培训、绩效、薪酬及员工发展等体系的全面建设），研究、设计适合公司发展战略的综合管理平台，致力于提高公司的综合管理水平；3、建立公司组织架构及岗位管理机制，科学建立岗位工作分析及人力配置管理体系，合理有效编制、控制、分析及管控人力成本预算；4、定期向高管层、决策者提供有关人力资源战略、组织建设、行政管理等方面的专项建议，为公司重大决策提供人力资源信息支持；5、根据公司业务发展的实际需要，构建完善的人力资源开发、培养、优化机制，制定、组织、实施有效的人才引进及储备策略，提升公司核心竞争力；6、深入了解公司业务经营需求，主导建立有效的绩效激励机制，充分调动全员工作积极性和创造力；","要求：1、人力资源、经济、管理类相关专业，全日制本科以上；2、有大公司总部工作经验，人事副总及以上层级，统筹能力强； 3、有企业人力资源战略制定和推进经历，熟悉企业人力资源规划及管理；4、宏观管理和协调组织能力强，较好的组织诊断能力；5、优秀的沟通能力，具备很强的个人魅力，优秀的分析、判断、组织与计划推进能力；6、具备人力资源规划、招聘、培训、薪酬、考核等人力资源管理的丰富实战经验，尤其擅长企业组织管控，绩效管理，薪酬体系设计等模块
            ",财经,不限,总裁,0人,,,"
32%
							",1
 HRVP,"
                    	80-110万
                    ",上海,本科及以上,10年以上,语言不限,30-45岁,,"
               岗位职责：1、根据集团发展战略，负责制订整个集团的人力资源规划，制定集团及各分子公司中长期人力资源发展计划，年度计划及预算，并监督下属各子公司执行及改进；2、建立和完善人力资源管理体系及开发体系，设计人力资源管理模式（包含招聘、培训、绩效、薪酬及员工发展等体系的全面建设），组织实施人力资源管理制度及作业流程、实施细则；3、定期向高层决策者提供有关人力资源战略、组织建设等方面的专项建议，为集团快速发展阶段的重大决策提供人力资源支持，致力于提高集团综合管理水平及控制人力成本；4、为集团的人力资源状况定期诊断和评估，擅长各类中高端岗位的人才甄别及选拔，完善人才储备及人才梯队建设；5、组织和推动企业文化建设、营造实务、创新和积极向上的文化氛围；职位要求：1、统招本科(含)以上学历, 人力资源管理、经济管理、心理学、法律等相关专业；2、10年以上大中型企业人力资源管理工作经验，5年以上同等规模企业同岗位工作经验；3、熟悉集团层次的人力资源管理工作, 至少有2个人力资源体系建设项目实施经历；4、具有丰富的人力资源管理与开发经验，有系统的理论知识与实践经验；5、熟悉各项劳动法律法规；6、具有较高的亲和力，人际洞察能力、复杂问题处理能力、激励沟通能力、影响力、团队管理组织能力；7、有互联网工作经历优先。
            ",,HR,不限,COO,0人,,,"
100%
							",1
HRVP（薪酬可OPEN）,"
                    	100-120万
                    ",广东省,硕士及以上,10年以上,英语 + 普通话,35-48岁,,"
               ","资格：1、全日制本科及以上学历，有世界500强企业人力资源管理经验；2、具有丰富的国际化人力资源管理经验，熟悉新加坡、香港、中国大陆等国家/地区相关法律法规；3、有10年以上大型企业集团人力资源管理经验（同职至少3年），具备现代人力资源管理专业技能；4、很强的组织规划、目标管理和执行、推动能力，擅于分析与解决实际问题，有很强的执行力；5、很强的人际理解、人际沟通、组织协调和团队领导能力；6、英语流利者优先考虑。岗位说明：1、根据集团发展战略，全面统筹规划全球人力资源管理战略和目标，确定集团人力资源管理的方针、政策和机制，保证集团人力资源管理体系的高效运作；2、组织开发短、中、长期人力资源，向集团经营层提供有关人力配置、组织建设等方面的建议，为实现集团战略提供人力资源策略与支持，提升集团综合管理水平；3、规划建设人才发展体系，策划并组织实施全球人力资源开发活动，为集团选拔、培养管理和专业技术人才，做好人才梯队建设，不断提升团队职业化水平；4、规划集团绩效管理体系，组织制定合理有效的、个性化的、结果导向的绩效管理政策，全面推进落实各项激励措施，实现有效激励，激活组织能动性和团队自驱性；5、管理、完善集团薪酬分配体系，组织制定全年人工成本预算，进行合理、有效控制，提升全球人力资源投入产出效率；6、建设集团企业文化价值体系，传播企业文化，推进员工关怀，营造良好组织氛围；7、组织实施员工关系管理，创建和谐、良好的劳动环境；8、对集团所属各区域/公司/机构的人力资源管理工作进行指导和监督，在全球范围内推动人力资源管理的标准化和规范化运作，建立各地联动与高效协作机制；9、组织实施全球范围内人力资源管理队伍建设，促进各地的沟通与交流，持续提升人力资源团队的专业能力和管理水平；10、推动集团人力资源信息化规划、实施和持续优化、完善工作。
            ",人力资源部,不限,总裁,60人,,,"
100%
							",1
集团人事行政副总裁HRVP,"
                    	120-180万
                    ",北京,本科及以上,8年以上,普通话,35-55岁,,"
               1、熟悉战略人力资源管理；具有大企业背景，最好是外资背景；2、本科以上学历，必须是第一学历；3、8年以上工作经验，3000人以上企业规模HRD以上职位，一流企业背景；4、人品优秀，形像较好。
            ",,外资HR,不限,董事长,20人,,,"
73%
							",1
HRVP / CHO,"
                    	100-150万
                    ",浙江省,硕士及以上,10年以上,英语,38-48岁,,"
               全盘的集团人力资源管理。（1）38—48岁，硕士学历或MBA，专业不限，名校优先，10年以上HR管理工作经验。（2）在五百强或国内外多元化大型跨国集团（制造型企业10000人以上规模）担任过人力资源一把手职位，至少5年以上大型企业集团HRD/HRVP管控经历。（3）具有国际化企业运作经验和国际化视野，精通集团化、国际化人力资源管理体系建设工作。（4）英语作为工作语言。
",,集团人力资源部,不限,董事长,90人,,,"
100%
							",1
hrvp,"
                    	300-360万
                    ",北京,统招本科,10年以上,语言不限,35-45岁,,"
               岗位职责：1、负责公司战略的分解与落地；2、负责公司的企业文化传播与发展；3、负责公司与事业部的组织发展。
            ",,项目部,不限,董事局主席,0人,,,"
94%
							",1
HRVP,"
                    	280-300万
                    ",北京,本科及以上,8年以上,语言不限,35-45岁,,"
               工作职责：1、根据集团发展战略，负责制订整个集团的人力资源规划，制定集团及各分子公司中长期人力资源发展计划，年度计划及预算，并监督下属各子公司执行及改进；2、建立和完善人力资源管理体系及开发体系，设计人力资源管理模式（包含招聘、培训、绩效、薪酬及员工发展等体系的全面建设），组织实施人力资源管理制度及作业流程、实施细则；3、定期向高层决策者提供有关人力资源战略、组织建设等方面的专项建议，为集团快速发展阶段的重大决策提供人力资源支持，致力于提高集团综合管理水平及控制人力成本；4、为集团的人力资源状况定期诊断和评估，擅长各类中高端岗位的人才甄别及选拔，完善人才储备及人才梯队建设；5、组织和推动企业文化建设、营造实务、创新和积极向上的文化氛围；6、及时处理人力资源管理过程中出现的重大人力问题；7、通过各种渠道改善组织环境，提升雇主品牌及知名度；8、对集团及各分子公司的人力资源工作实施指导、协调、监督。","资格：1、统招本科(含)以上学历, 人力资源管理、经济管理、心理学、法律等相关专业；2、10年以上大中型企业人力资源管理工作经验，5年以上同等规模企业同岗位工作经验；3、熟悉集团层次的人力资源管理工作, 至少有2个人力资源体系建设项目实施经历；4、具有丰富的人力资源管理与开发经验，有系统的理论知识与实践经验；5、熟悉各项劳动法律法规；6、具有较高的亲和力，人际洞察能力、复杂问题处理能力、激励沟通能力、影响力、团队管理组织能力。
",集团人力资源中心,不限,总裁,0人,,,"
100%
							",1
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,1
首席人力资源官CHO/HRVP,"
                    	100-150万
                    ",北京,本科及以上,5年以上,语言不限,30-50岁,,"
               职位描述1、负责整个公司的人力资源规划工作；2、有国内一线互联网工作、知名外资企业HRD或HRVP工作经验；3、有大数据、人工智能、云计算行业工作经验；
            ",,人事部,不限,总经理,0人,,,"
100%
							",1
HRVP,"
                    	60-90万
                    ",北京,本科及以上,5年以上,普通话,30-40岁,,"
               岗位职责1、带领人力资源团队成为员工的朋友、业务的伙伴；2、深入业务，敏锐捕捉业务部门潜在问题，熟练使用人力资源专业解决实际问题；3、根据整体发展战略方向，推动中长期人力资源战略规划的制定与落地；4、完善公司人力资源管理体系，优化人力资源管理流程，使整体人力资源配置更好地满足企业发展的需求；5、关注组织发展，综合分析人力资源数据，实现组织结构优化、人效提升的目标；","要求1、5-10年以上人力资源管理经验，3-5年以上人力资源总监工作经验；2、有超过20人以上的团队管理经验，能带领数团队高效协作并实现工作目标；3、出色的洞察力、执行力、领导力与战略眼光，；4、正向的价值观，一切从员工出发，一切从业务出发；5、做过TUP项目或熟悉的优先考虑 。
            ",人力资源部,不限,总经理,10人,,,"
100%
							",1
